question,cop,opa,opb,opc,opd,subject_name,id,prediction
Hypersecretory glaucoma is seen in -,A,Epidemic dropsy,Marfan's syndrome,Hypeension,Diabetes,Ophthalmology,38f20899-3b8d-4e87-9b0f-6fbcfcf0f215,A
"Endometrial biopsy in infertility"" is done at",C,3-6 days of menstrual cycle,5-7 days of menstrual cycle,21 - 23rd day of the menstrual cycle,24 - 26th days of the menstrual cycle,Gynaecology & Obstetrics,7b2a9322-e4fd-4282-ae41-d2db753f9114,C
Which of the following is the least effective barrier?,A,Deep dentin,Superficial dentin,Enamel,Cementum,Dental,9de4c458-aab3-44a1-a75f-c395ccafc3ab,D
Refraction in eye not affected by:,C,Removal of vitreous,Lens thickened,Anterior chamber depth increased,Axial length changed,Ophthalmology,45521705-d58d-4315-a437-c2a40962d1c3,A
Which of the following measures The amount of fetal blood entering maternal circulation:,A,Kleihauer - Betke test,Singers test,APT test,Benedict test,Gynaecology & Obstetrics,4cb190ab-e927-4d7b-b958-bcda14248cb7,A
Nosocomial infections are diagnosed after how many hours of hospitalization / admission?,B,24 hours,48 hours,72 hours,96 hours,Social & Preventive Medicine,e42b4658-c5c0-4825-b211-bd8139bcc824,B
Anagen phase of the hair indicates:,A,The phase of activity and growth,The phase of transition,The phase of resting,The phase of degeneration,Skin,4e2ea062-74ce-4b21-9b7f-278dc46a96f0,A
Which of the following biomarkers is released from ventricular myocytes:,A,Brain Natriuretic Peptide (BNP),Atrial Natriuretic Peptide (ANP),Endothelin 1,Endothelin 2,Medicine,06d3891a-b9c0-4e5b-a3b6-b9ab94c09b40,A
Epidermal Bullosa Acquisita is characterized by,A,Immunoglobulins against collagen 7,IgA against BP2,Immunoglobulins against BP2,Immunoglobulins against Dsg-1,Dental,89953ad8-7926-4ac1-8fff-80bce07db5d1,A
Proximal tubule proteinuria and painful bone lesions are seen in overdose of,A,Cadmium,Lead,Mercury,Phenol,Forensic Medicine,a86261e6-1a7b-43c0-8b78-454ace0ca79b,A
Anesthetic of choice for status asthmaticus is?,A,Ketamine,Thiopentone,Ether,N2O,Anaesthesia,e3fc64cf-3046-4fd5-a373-2794e702814c,A
"45-year-old policeman comes from duty with complain of pain in right leg. On examination, pulse in right popliteal fossa was absent and pain in right buttock, where as in left side it was normal. The block is at which level?",B,Femoral,Iliac,Aooiliac,Popliteal,Anatomy,b05cd128-8c35-488b-aed3-18157fe6349c,C
Which of the following is not assessed in FAST?,C,Right upper quadrant,Left upper quadrant,Hypogastrium,Sub-xiphoid area,Surgery,77309952-ca56-4600-baab-e651d73f194c,C
Tolvaptan is used for:-,A,SIADH,Central DI,Von Wilebrand disease,Catecholamine resistant Shock,Medicine,977c3848-75af-4ca7-bdfd-1f811a8282ac,A
Foaming liver is seen in,B,Actinomycosis,Gas gangrene,Organophosphorus poisoning,Sepsis,Anatomy,96d9fb07-cab8-43f5-9871-4c47c6a38874,B
Ingestion of arsenic causes :,C,Hepatic carcinoma,Hepatic adenoma,Non cirrhotic poal fibrosis,Hepatic cirrhosis,Medicine,e0857dbb-e7ad-4976-a556-981802ffcaaa,C
Horizontal semicircular canal is,D,Anterior,Superior,Posterior,Lateral,Anatomy,a997ceac-936d-419d-9e06-e45a46844480,D
Vitamin which is excreted in urine is,B,Vitamin A,Vitamin C,Vitamin D,Vitamin K,Biochemistry,9242648b-44d6-4df9-b6d0-14dca59c8df0,B
Denominator in dependency ratio -,D,0-5 years,5-14 years,> 65 years,15-65 years,Social & Preventive Medicine,893d18ee-9398-49c5-b7f8-a1b62e87f4ce,D
Nevirapine is,A,Nonnucleoside reverse transcriptase inhibitor (NNI),Nucleoside reverse transcriptase inhibitor (NIs),Protease inhibitor (PI),Fusion inhibitor,Pharmacology,6ca3395e-003a-44db-b775-72f8701b1109,A
Emporiatrics is study of,C,Bioterrorism agents,Tropical diseases,Health of International travelers,International health agencies,Social & Preventive Medicine,88f8df26-97b9-4b9c-948b-48d53169fe89,C
A 30 year old veterinarian visits her obstetrician for a first-trimester prenatal check-up. She has no complaints.Routine physical exam is significant only for mild cervical lymphadenopathy. She is prescribed spiramycin but is noncompliant. Her baby is born with hydrocephalus and cerebral calcifications. Which of the following organisms is most likely responsible?,D,Isospora belli,Leishmania donovani,Plasmodium vivax,Toxoplasma gondii,Microbiology,4350ef2d-c270-4a9d-852f-21b0c5a36f58,D
Shelf life of salbutamol in this preparation is:,A,3 years,14 years,5 years,Cannot be known from the information,Pharmacology,2da398ad-100b-4440-8129-7f67adcaa628,D
The effective diameter of the tympanic membrane -,D,25 mm2,30 mm2,40 mm2,45 mm2,ENT,3474e44c-5fc0-475d-81cf-57576f70dcb1,C
The time interval between diagnosis by early detection and diagnosis by other means is -,B,Incubation period,Lead time,Serial interval,Latent period,Social & Preventive Medicine,f5c9b2d4-fb0d-4895-ae3e-a72d5d2dbb44,B
Nerve supplying Gemellus inferior,D,Nerve to Obturator internus,Superior gluteal nerve,Inferior gluteal nerve,Nerve to Quadratus femoris,Anatomy,84658904-3855-47b5-9307-99efb9d90b0d,D
The most common side effect of neuraxial opioid is:,B,Nausea & vomiting,Pruritus,Urinary retention,Sedation,Anaesthesia,39aff31f-e0c4-4f9c-b242-27199b5a217b,B
Rokitansky Protuberance is associated with -,C,Seminoma,Leomyoma,Dermoid cyst,Choriocarcinoma,Pathology,41ace6f5-aa0e-4b77-b112-8d71b7056e21,C
