id,mcq_json,rubric,question,option_a,option_b,option_c,option_d,correct_option
OIC-360-01-A,"{'question': 'What is the primary characteristic of a pneumothorax?', 'option_a': 'Gas effusion in the pleural cavity', 'option_b': 'Fluid accumulation in the lungs', 'option_c': 'Solid mass formation in the chest', 'option_d': 'Excessive blood flow in the pleural cavity', 'correct_option': 'A'}",Definition,What is the primary characteristic of a pneumothorax?,Gas effusion in the pleural cavity,Fluid accumulation in the lungs,Solid mass formation in the chest,Excessive blood flow in the pleural cavity,a
OIC-360-08-A,"{'question': 'What is a key consideration when evaluating the severity of a pneumothorax?', 'option_a': 'The size of the pneumothorax directly correlates with severity.', 'option_b': 'Only respiratory signs are important for assessing severity.', 'option_c': 'Haemodynamic signs like shock can indicate severity even in small pneumothoraxes.', 'option_d': 'A partial pneumothorax is always well tolerated.', 'correct_option': 'C'}",,What is a key consideration when evaluating the severity of a pneumothorax?,The size of the pneumothorax directly correlates with severity.,Only respiratory signs are important for assessing severity.,Haemodynamic signs like shock can indicate severity even in small pneumothoraxes.,A partial pneumothorax is always well tolerated.,c
OIC-360-03-A,"{'question': 'What is essential for confirming a diagnosis of pneumothorax, despite the possibility of a clinical diagnosis?', 'option_a': 'Physical examination alone', 'option_b': 'Laboratory blood tests', 'option_c': 'Thoracic imaging', 'option_d': 'Patient history', 'correct_option': 'C'}",Positive diagnosis,"What is essential for confirming a diagnosis of pneumothorax, despite the possibility of a clinical diagnosis?",Physical examination alone,Laboratory blood tests,Thoracic imaging,Patient history,c
OIC-360-11-B,"{'question': 'What is a recommended measure to prevent the recurrence of pneumothorax?', 'option_a': 'Increase physical activity', 'option_b': 'Smoking cessation', 'option_c': 'High altitude exposure', 'option_d': 'Increased salt intake', 'correct_option': 'B'}",,What is a recommended measure to prevent the recurrence of pneumothorax?,Increase physical activity,Smoking cessation,High altitude exposure,Increased salt intake,b
OIC-360-10-B,"{'question': 'What is an indication for pleural drainage in the management of pneumothorax?', 'option_a': 'Primary pneumothorax with successful exsufflation', 'option_b': 'Secondary pneumothorax with a quick pleural breach closure', 'option_c': 'Primary pneumothorax with failed exsufflation', 'option_d': 'Secondary pneumothorax without any pleural breach', 'correct_option': 'C'}",Management,What is an indication for pleural drainage in the management of pneumothorax?,Primary pneumothorax with successful exsufflation,Secondary pneumothorax with a quick pleural breach closure,Primary pneumothorax with failed exsufflation,Secondary pneumothorax without any pleural breach,c
OIC-360-04-A,"{'question': 'Which radiological sign is indicative of a tension pneumothorax on a standard chest X-ray?', 'option_a': 'Hyperclarity at the apex', 'option_b': 'Retraction of lung parenchyma onto its hilum', 'option_c': 'Subcutaneous emphysema', 'option_d': 'Horizontal hydroaerobic level', 'correct_option': 'B'}",Positive diagnosis,Which radiological sign is indicative of a tension pneumothorax on a standard chest X-ray?,Hyperclarity at the apex,Retraction of lung parenchyma onto its hilum,Subcutaneous emphysema,Horizontal hydroaerobic level,b
OIC-360-02-B,"{'question': 'What is a distinguishing factor between primary and secondary pneumothorax?', 'option_a': 'Primary pneumothorax occurs due to underlying lung diseases.', 'option_b': 'Secondary pneumothorax occurs without any apparent cause.', 'option_c': 'Primary pneumothorax is associated with external chest trauma.', 'option_d': 'Secondary pneumothorax is linked to existing lung conditions.', 'correct_option': 'D'}",,What is a distinguishing factor between primary and secondary pneumothorax?,Primary pneumothorax occurs due to underlying lung diseases.,Secondary pneumothorax occurs without any apparent cause.,Primary pneumothorax is associated with external chest trauma.,Secondary pneumothorax is linked to existing lung conditions.,d
OIC-360-07-A,"{'question': 'Which factor is most associated with a primary spontaneous pneumothorax?', 'option_a': 'History of trauma', 'option_b': 'Pulmonary pathology such as emphysema', 'option_c': 'Long-limbed young man', 'option_d': 'History of tuberculosis', 'correct_option': 'C'}",Etiologies,Which factor is most associated with a primary spontaneous pneumothorax?,History of trauma,Pulmonary pathology such as emphysema,Long-limbed young man,History of tuberculosis,c
OIC-360-09-A,"{'question': 'What is the correct procedure for performing pleural exsufflation in a major emergency?', 'option_a': 'Using a small-bore catheter in the 5th intercostal space', 'option_b': 'Performing puncture in the 2nd intercostal space via a midclavicular approach', 'option_c': 'Inserting the catheter in the 4th intercostal space along the midaxillary line', 'option_d': 'Avoiding aseptic techniques to save time', 'correct_option': 'B'}",Management,What is the correct procedure for performing pleural exsufflation in a major emergency?,Using a small-bore catheter in the 5th intercostal space,Performing puncture in the 2nd intercostal space via a midclavicular approach,Inserting the catheter in the 4th intercostal space along the midaxillary line,Avoiding aseptic techniques to save time,b
OIC-258-09-A,"{'question': 'What clinical evidence supports the functional nature of an increase in creatininemia?', 'option_a': 'Presence of true hypovolemia such as dehydration.', 'option_b': 'High blood pressure due to overhydration.', 'option_c': 'Increased urine output with polyuria.', 'option_d': 'Normal renal perfusion with no drug interference.', 'correct_option': 'a'}",Etiologies,What clinical evidence supports the functional nature of an increase in creatininemia?,Presence of true hypovolemia such as dehydration.,High blood pressure due to overhydration.,Increased urine output with polyuria.,Normal renal perfusion with no drug interference.,a
OIC-258-07-A,"{'question': 'What clinical evidence supports the obstructive nature of an increase in creatininemia?', 'option_a': 'Presence of significant dysuria or micturition by overflow.', 'option_b': 'Elevated levels of serum potassium.', 'option_c': 'Consistent high blood pressure readings.', 'option_d': 'Weight loss and fatigue.', 'correct_option': 'A'}",Etiologies,What clinical evidence supports the obstructive nature of an increase in creatininemia?,Presence of significant dysuria or micturition by overflow.,Elevated levels of serum potassium.,Consistent high blood pressure readings.,Weight loss and fatigue.,a
OIC-258-08-B,"{'question': 'Which test is typically performed first to investigate the obstructive origin of increased creatinine levels?', 'option_a': 'Blood test for creatinine clearance', 'option_b': 'Renal ultrasound', 'option_c': 'Electrocardiogram (ECG)', 'option_d': 'Liver function test', 'correct_option': 'B'}",Additional tests,Which test is typically performed first to investigate the obstructive origin of increased creatinine levels?,Blood test for creatinine clearance,Renal ultrasound,Electrocardiogram (ECG),Liver function test,b
OIC-258-04-A,"{'question': 'In which situation is it recommended to measure creatininemia according to the French National Authority for Health?', 'option_a': 'A patient with a BMI of 25 kg/m² and no other conditions.', 'option_b': 'A 45-year-old individual with no history of renal disease.', 'option_c': 'A person over 60 years old with diabetes.', 'option_d': 'A young adult with no exposure to nephrotoxic substances.', 'correct_option': 'C'}",,In which situation is it recommended to measure creatininemia according to the French National Authority for Health?,A patient with a BMI of 25 kg/m² and no other conditions.,A 45-year-old individual with no history of renal disease.,A person over 60 years old with diabetes.,A young adult with no exposure to nephrotoxic substances.,c
OIC-258-02-A,"{'question': 'Which formula is recommended for estimating GFR in adults according to the French National Authority for Health?', 'option_a': 'Schwartz formula', 'option_b': 'MDRD formula', 'option_c': 'CKD-EPI formula', 'option_d': 'Iohexol clearance', 'correct_option': 'C'}",Positive diagnosis,Which formula is recommended for estimating GFR in adults according to the French National Authority for Health?,Schwartz formula,MDRD formula,CKD-EPI formula,Iohexol clearance,c
OIC-258-11-A,"{'question': 'What is the most common parenchymal cause of acute elevation of creatinine?', 'option_a': 'Glomerular nephropathy', 'option_b': 'Tubular necrosis', 'option_c': 'Vascular parenchymal deterioration', 'option_d': 'Interstitial nephropathy', 'correct_option': 'B'}",Etiologies,What is the most common parenchymal cause of acute elevation of creatinine?,Glomerular nephropathy,Tubular necrosis,Vascular parenchymal deterioration,Interstitial nephropathy,b
OIC-258-12-B,"{'question': 'Which of the following tests is recommended as a first step when elevated creatinine levels are suspected to be of parenchymal origin?', 'option_a': 'Blood sugar level', 'option_b': 'Renal ultrasound', 'option_c': 'Liver function test', 'option_d': 'Electrocardiogram', 'correct_option': 'B'}",Additional tests,Which of the following tests is recommended as a first step when elevated creatinine levels are suspected to be of parenchymal origin?,Blood sugar level,Renal ultrasound,Liver function test,Electrocardiogram,b
OIC-258-10-B,"{'question': 'Which of the following is a paraclinical element indicating a functional origin of increased creatinine levels?', 'option_a': 'Urinary Na > 40 mmol/L', 'option_b': 'U/P creatinine > 30', 'option_c': 'Excreted urea fraction > 45%', 'option_d': 'U/P osmolar < 1', 'correct_option': 'B'}",Additional tests,Which of the following is a paraclinical element indicating a functional origin of increased creatinine levels?,Urinary Na > 40 mmol/L,U/P creatinine > 30,Excreted urea fraction > 45%,U/P osmolar < 1,b
OIC-258-01-A,"{'question': 'What happens to creatinine levels as renal function deteriorates?', 'option_a': 'Creatinine levels decrease.', 'option_b': 'Creatinine levels remain constant.', 'option_c': 'Creatinine levels increase.', 'option_d': 'Creatinine levels depend only on diet.', 'correct_option': 'C'}",Positive diagnosis,What happens to creatinine levels as renal function deteriorates?,Creatinine levels decrease.,Creatinine levels remain constant.,Creatinine levels increase.,Creatinine levels depend only on diet.,c
OIC-258-06-A,"{'question': 'Which of the following supports a diagnosis of acute renal failure?', 'option_a': 'Enlarged kidneys observed on imaging', 'option_b': 'Chronic creatinine elevation over several months', 'option_c': 'Normal-sized kidneys and recent rise in creatinine levels', 'option_d': 'Consistently low creatinine levels', 'correct_option': 'C'}",Positive diagnosis,Which of the following supports a diagnosis of acute renal failure?,Enlarged kidneys observed on imaging,Chronic creatinine elevation over several months,Normal-sized kidneys and recent rise in creatinine levels,Consistently low creatinine levels,c
OIC-258-05-A,"{'question': 'Which of the following is a criterion for diagnosing chronic renal failure?', 'option_a': 'A history of acute renal failure events', 'option_b': 'Kidney size greater than 12 cm on ultrasound', 'option_c': 'Hypocalcemia due to lack of active vitamin D', 'option_d': 'Presence of regenerative anemia', 'correct_option': 'option_c'}",Positive diagnosis,Which of the following is a criterion for diagnosing chronic renal failure?,A history of acute renal failure events,Kidney size greater than 12 cm on ultrasound,Hypocalcemia due to lack of active vitamin D,Presence of regenerative anemia,option_c
OIC-258-03-B,"{'question': 'Which formula is used to estimate creatinine clearance in adults?', 'option_a': 'Schwartz formula', 'option_b': 'Cockcroft-Gault formula', 'option_c': 'MDRD formula', 'option_d': 'Chronic Kidney Disease-Epidemiology Collaboration (CKD-EPI) formula', 'correct_option': 'B'}",Positive diagnosis,Which formula is used to estimate creatinine clearance in adults?,Schwartz formula,Cockcroft-Gault formula,MDRD formula,Chronic Kidney Disease-Epidemiology Collaboration (CKD-EPI) formula,b
OIC-042-10-B,"{'question': 'What is the recommended first step in confirming true hyperprolactinemia?', 'option_a': 'Immediately start treatment for prolactin adenoma.', 'option_b': 'Perform a pituitary MRI to look for adenomas.', 'option_c': 'Check the prolactin dosage in another laboratory.', 'option_d': 'Prescribe medications to lower prolactin levels.', 'correct_option': 'C'}",Etiologies,What is the recommended first step in confirming true hyperprolactinemia?,Immediately start treatment for prolactin adenoma.,Perform a pituitary MRI to look for adenomas.,Check the prolactin dosage in another laboratory.,Prescribe medications to lower prolactin levels.,c
OIC-042-05-B,"{'question': 'What is the primary cause of secondary amenorrhoea of uterine origin?', 'option_a': 'Genital tuberculosis', 'option_b': 'Pregnancy', 'option_c': 'Cervical brachytherapy', 'option_d': 'Synechiae', 'correct_option': 'B'}",Etiologies,What is the primary cause of secondary amenorrhoea of uterine origin?,Genital tuberculosis,Pregnancy,Cervical brachytherapy,Synechiae,b
OIC-042-09-B,"{'question': 'What is a common cause of functional hypothalamic amenorrhea (FHA) in young women?', 'option_a': 'Excessive nutritional intake', 'option_b': 'Regular physical activity', 'option_c': 'Voluntary weight loss and restrictive eating', 'option_d': 'High levels of leptin', 'correct_option': 'C'}",Etiologies,What is a common cause of functional hypothalamic amenorrhea (FHA) in young women?,Excessive nutritional intake,Regular physical activity,Voluntary weight loss and restrictive eating,High levels of leptin,c
OIC-042-07-B,"{'question': 'What is the most common pituitary cause of gonadotropic insufficiency?', 'option_a': 'Autoimmune hypophysitis', 'option_b': 'Prolactin adenoma', 'option_c': ""Sheehan's syndrome"", 'option_d': 'Craniopharyngioma', 'correct_option': 'B'}",Etiologies,What is the most common pituitary cause of gonadotropic insufficiency?,Autoimmune hypophysitis,Prolactin adenoma,Sheehan's syndrome,Craniopharyngioma,b
OIC-042-04-B,"{'question': 'What are the two main diagnoses to consider in cases of primary amenorrhoea with the absence of a uterus on ultrasound?', 'option_a': 'Turner syndrome and androgen insensitivity syndrome', 'option_b': 'Müllerian agenesis and complete androgen insensitivity syndrome', 'option_c': 'Polycystic ovary syndrome and Müllerian agenesis', 'option_d': 'Klinefelter syndrome and Mayer-Rokitansky-Küster-Hauser syndrome', 'correct_option': 'b'}",Etiologies,What are the two main diagnoses to consider in cases of primary amenorrhoea with the absence of a uterus on ultrasound?,Turner syndrome and androgen insensitivity syndrome,Müllerian agenesis and complete androgen insensitivity syndrome,Polycystic ovary syndrome and Müllerian agenesis,Klinefelter syndrome and Mayer-Rokitansky-Küster-Hauser syndrome,b
OIC-042-03-A,"{'question': 'What is the primary purpose of the progestogen test in diagnosing amenorrhea?', 'option_a': 'To determine the presence of pregnancy.', 'option_b': 'To assess the severity of hyperandrogenism.', 'option_c': 'To evaluate estrogen impregnation of the endometrium.', 'option_d': 'To diagnose anatomical anomalies in the genital tract.', 'correct_option': 'C'}",Positive diagnosis,What is the primary purpose of the progestogen test in diagnosing amenorrhea?,To determine the presence of pregnancy.,To assess the severity of hyperandrogenism.,To evaluate estrogen impregnation of the endometrium.,To diagnose anatomical anomalies in the genital tract.,c
OIC-042-02-B,"{'question': 'What initiates the positive feedback mechanism that leads to ovulation in the menstrual cycle?', 'option_a': 'A decrease in progesterone levels', 'option_b': 'High oestradiol levels for at least 48 hours', 'option_c': 'An increase in inhibins A and B', 'option_d': 'Low GnRH pulse frequency', 'correct_option': 'B'}",Physiopathology,What initiates the positive feedback mechanism that leads to ovulation in the menstrual cycle?,A decrease in progesterone levels,High oestradiol levels for at least 48 hours,An increase in inhibins A and B,Low GnRH pulse frequency,b
