id,mcq_json,rubric,question,option_a,option_b,option_c,option_d,correct_option
OIC-360-01-A,"{'question': 'What is a pneumothorax?', 'option_a': 'Gas effusion in the pleural cavity', 'option_b': 'Fluid accumulation in the lungs', 'option_c': 'Infection of the pleural lining', 'option_d': 'Inflammation of the bronchial tubes', 'correct_option': 'A'}",Definition,What is a pneumothorax?,Gas effusion in the pleural cavity,Fluid accumulation in the lungs,Infection of the pleural lining,Inflammation of the bronchial tubes,a
OIC-360-08-A,"{'question': 'Which of the following signs are systematically sought to diagnose the severity of a pneumothorax?', 'option_a': 'Size of the pneumothorax', 'option_b': 'Respiratory and haemodynamic signs', 'option_c': ""Patient's age and weight"", 'option_d': 'Duration of symptoms', 'correct_option': 'B'}",,Which of the following signs are systematically sought to diagnose the severity of a pneumothorax?,Size of the pneumothorax,Respiratory and haemodynamic signs,Patient's age and weight,Duration of symptoms,b
OIC-360-03-A,"{'question': 'Which of the following is a clinical element of a positive diagnosis for pneumothorax?', 'option_a': ""Sudden 'stabbing' chest pain"", 'option_b': 'Increased vesicular murmur', 'option_c': 'Decreased tympany on percussion', 'option_d': 'Increased mobility of the hemithorax', 'correct_option': 'A'}",Positive diagnosis,Which of the following is a clinical element of a positive diagnosis for pneumothorax?,Sudden 'stabbing' chest pain,Increased vesicular murmur,Decreased tympany on percussion,Increased mobility of the hemithorax,a
OIC-360-11-B,"{'question': 'What is a recommended measure to prevent the recurrence of pneumothorax?', 'option_a': 'Increase physical activity', 'option_b': 'Stop smoking', 'option_c': 'Reduce fluid intake', 'option_d': 'Avoid cold environments', 'correct_option': 'B'}",,What is a recommended measure to prevent the recurrence of pneumothorax?,Increase physical activity,Stop smoking,Reduce fluid intake,Avoid cold environments,b
OIC-360-10-B,"{'question': 'What is a primary indication for pleural drainage in the management of pneumothorax?', 'option_a': 'When exsufflation has failed in a primary pneumothorax.', 'option_b': 'When the patient has a history of recurrent pneumothorax.', 'option_c': 'When the pneumothorax is small and asymptomatic.', 'option_d': 'When the patient is allergic to analgesics.', 'correct_option': 'A'}",Management,What is a primary indication for pleural drainage in the management of pneumothorax?,When exsufflation has failed in a primary pneumothorax.,When the patient has a history of recurrent pneumothorax.,When the pneumothorax is small and asymptomatic.,When the patient is allergic to analgesics.,a
OIC-360-04-A,"{'question': 'Which radiological sign is indicative of a tension pneumothorax on a standard chest X-ray?', 'option_a': 'Retraction of lung parenchyma onto its hilum', 'option_b': 'Presence of a clear peripheral crescent', 'option_c': 'Horizontal hydroaerobic level', 'option_d': 'Subcutaneous emphysema', 'correct_option': 'A'}",Positive diagnosis,Which radiological sign is indicative of a tension pneumothorax on a standard chest X-ray?,Retraction of lung parenchyma onto its hilum,Presence of a clear peripheral crescent,Horizontal hydroaerobic level,Subcutaneous emphysema,a
OIC-360-02-B,"{'question': 'What distinguishes primary pneumothorax from secondary pneumothorax?', 'option_a': 'Primary pneumothorax is caused by trauma.', 'option_b': 'Secondary pneumothorax occurs without any underlying lung disease.', 'option_c': 'Primary pneumothorax occurs without an apparent cause.', 'option_d': 'Secondary pneumothorax is unrelated to lung collapse.', 'correct_option': 'C'}",,What distinguishes primary pneumothorax from secondary pneumothorax?,Primary pneumothorax is caused by trauma.,Secondary pneumothorax occurs without any underlying lung disease.,Primary pneumothorax occurs without an apparent cause.,Secondary pneumothorax is unrelated to lung collapse.,c
OIC-360-07-A,"{'question': 'Which of the following is most likely to cause a primary spontaneous pneumothorax?', 'option_a': 'A long-limbed young man', 'option_b': 'A history of emphysema', 'option_c': 'A recent chest trauma', 'option_d': 'A history of tuberculosis', 'correct_option': 'A'}",Etiologies,Which of the following is most likely to cause a primary spontaneous pneumothorax?,A long-limbed young man,A history of emphysema,A recent chest trauma,A history of tuberculosis,a
OIC-360-09-A,"{'question': 'In which situation is pleural exsufflation indicated?', 'option_a': 'Pressure pneumothorax with signs of severity', 'option_b': 'Any pneumothorax regardless of size', 'option_c': 'Minor pneumothorax with no symptoms', 'option_d': 'Pneumothorax with detachment less than 2 cm', 'correct_option': 'A'}",Management,In which situation is pleural exsufflation indicated?,Pressure pneumothorax with signs of severity,Any pneumothorax regardless of size,Minor pneumothorax with no symptoms,Pneumothorax with detachment less than 2 cm,a
OIC-258-09-A,"{'question': 'Which of the following is a clinical sign of true hypovolemia associated with functional renal failure?', 'option_a': 'Arterial hypotension due to extracellular dehydration', 'option_b': 'Major edematous states during hypoproteinemia', 'option_c': 'Septic shock in the initial phase', 'option_d': 'Use of non-steroidal anti-inflammatory drugs', 'correct_option': 'A'}",Etiologies,Which of the following is a clinical sign of true hypovolemia associated with functional renal failure?,Arterial hypotension due to extracellular dehydration,Major edematous states during hypoproteinemia,Septic shock in the initial phase,Use of non-steroidal anti-inflammatory drugs,a
