id,question,option_a,option_b,option_c,option_d,correct_option
OIC-328-06-B,What is the main difference between a stabilisation orthose and an immobilisation orthose?,Both aim to prevent movement in a joint,"Immobilisation orthoses are designed for post-surgical recovery, while stabilisation orthoses are used for acute injuries.",Stabilisation orthoses work by using a mechanical device to maintain the position of a joint during its healing process.,"An immobilisation orthose is typically made from materials that allow for some degree of movement, such as soft tissues.",b
OIC-328-12-B,What is the principle of specificity in mineral waters?,The water must be from a specific source,The concentration of certain minerals should match a predetermined standard,The water's chemical composition must align with a predetermined pattern,The temperature and chemical composition of the water must conform to established standards,c
OIC-328-05-A,What is the main objective of orthotic treatment?,Downtime,Rest,Stabilization,Correction,d
OIC-328-08-A,What does 'Aesthetic Trim' refer to in a prosthetic device?,Articulated joint,Non-articulated joint,Cable tie,Aesthetic effect only,b
OIC-328-02-A,What is a non-medical device?,A small tool used for surgery,An instrument designed for exercise,A food additive,A laboratory supply,a
OIC-328-07-B,What is the main difference between a large orthosis and a small one?,Size,Material,Time of use,Type of patient,a
OIC-328-04-B,What is the main function of a compression stocking?,To compensate for a deficient organic function,To aid in muscle relaxation,To protect and support poor circulation,To increase physical performance,To compensate for a deficient organic function
OIC-328-10-B,What is the primary purpose of a transfer handlebars in rehabilitation therapy?,Assisting with transferring from one surface to another,Aiding individuals with limited mobility to stand up and walk independently,Helping individuals breathe during sleep apnea treatment,Providing assistance with hygiene activities,a
OIC-328-09-A,What percentage of standard therapeutic footwear is CHUT (temporary use)?,60,100,20,80,b
OIC-328-03-B,What type of reimbursement do you expect for using an electric wheelchair?,LPPR,GHS,DM,ALD,b
OIC-328-01-A,What is the primary indication for prescribing non-drug therapies?,Disabilities,Activities,Participation,Environmental factors, Disabilities
OIC-328-11-A,What is a key characteristic that distinguishes an electric wheelchair from a manual one?,The type of power source,The method of propulsion,The user's physical condition,None of the above,d
OIC-019-05-A,What is the main difference between the General Scheme and the Social Scheme for Self-Employed (RSI)?,The General Scheme covers only salaried workers in the private sector.,"Both schemes aim to cover all unemployed individuals, regardless of employment status.",The RSI scheme replaced the Social Scheme for Self-Employed since its abolition in 2018.,There is no difference between the General Scheme and the Social Scheme for Self-Employed.,option_b
OIC-019-12-A,What is the main purpose of setting up the ALD (Alzheimer's Disease) protocol?,To provide comprehensive care for patients with Alzheimer's disease,To ensure that medical expenses are minimized for those who do not have any symptoms of Alzheimer's,To set aside a portion of the patient's resources to help them pay for future treatment costs,To deny necessary care to individuals without an ALD diagnosis,a
OIC-019-08-A,What is the difference between the General Social Security scheme and the agricultural scheme?,The General Social Security scheme covers more people and includes certain benefits not in the agricultural scheme,The agricultural scheme has a higher insurance ratio and better health outcomes than the General Social Security scheme,"Both schemes are maintained by different bodies, but have similar objectives and coverage",None of the above is correct,option_a
OIC-019-04-B,What is the primary funding source for social security contributions in France?,CSG (General Social Contribution),Earmarked taxes,Taxes on income and wealth,State public contributions,option_a
OIC-019-10-A,What is the purpose of 'co-payment' in healthcare?,to reduce financial burden on patients,to increase medical expenses for patients,to make patients financially independent from health insurance,both A and B,c
OIC-019-07-B,What is the purpose of the National Health Insurance Expenditure Target (ONDAM) in France?,To regulate health insurance expenditure and ensure compliance with fiscal targets.,To set a baseline for healthcare spending that may not be sustainable or realistic.,To provide additional funding for public health initiatives within the ONDAM framework.,To allow private hospitals to operate freely without any oversight.,a
OIC-019-13-B,What is the main purpose of social insurance cash benefits?,To provide a replacement income for employees who are off work due to illness or injury.,"To cover all healthcare costs incurred by insured persons, including treatment outside the coordinated care pathway (preferred doctor).",To limit medical expenses and prevent financial ruin in case of an accident or illness at work.,To provide a daily allowance for employees who are off work due to sickness.,to provide a replacement income
OIC-019-03-B,What percentage of France's GDP did social protection account for in 2020?,35%,30%,40%,10%,b
OIC-019-02-A,What is considered as a social protection benefit in France?,Payment of cash benefits to individuals,Free meals at healthcare facilities,Direct funding of services for those in need,Government subsidies for housing expenses only,option_a
OIC-019-11-A,Who decides which doctor is the preferred doctor in a coordinated care pathway?,Insured person or entitled person aged 16 or over can declare them.,The insurance organization itself.,The medical consumption council.,The government.,option_a
OIC-019-06-B,What is the main purpose of the Social Security Financing Act (LFSS)?,to control excessive spending,to increase funding for social programs,to limit government spending on social security,to promote economic growth through increased social contributions,a
