id,mcq_json,rubric,question,option_a,option_b,option_c,option_d,correct_option
OIC-247-01-A,"{""question"": ""What is the definition of diabetes based on?"", ""option_a"": ""Chronic hyperglycemia"", ""option_b"": ""Risk of long-term retinopathy"", ""option_c"": ""Fasting blood glucose levels below 1.26 g/l (7 mmol/l)"", ""option_d"": ""Hemoglobin A1c levels above 6.5%"", ""correct_option"": ""A""}",Definition,What is the definition of diabetes based on?,Chronic hyperglycemia,Risk of long-term retinopathy,Fasting blood glucose levels below 1.26 g/l (7 mmol/l),Hemoglobin A1c levels above 6.5%,a
OIC-161-07-A,"{""question"": ""What is urinary colonisation, also known as asymptomatic bacteriuria?"", ""option_a"": ""A condition where bacteria in the urine are accompanied by symptoms such as pain or burning during urination"", ""option_b"": ""The presence of bacteria in the urine in the absence of any symptoms"", ""option_c"": ""A type of urinary infection that requires immediate medical attention"", ""option_d"": ""A condition that only affects people with a weakened immune system"", ""correct_option"": ""B""}",Definition,"What is urinary colonisation, also known as asymptomatic bacteriuria?",A condition where bacteria in the urine are accompanied by symptoms such as pain or burning during urination,The presence of bacteria in the urine in the absence of any symptoms,A type of urinary infection that requires immediate medical attention,A condition that only affects people with a weakened immune system,b
OIC-124-07-A,"{""question"": ""What are the main functional symptoms of climacteric, which are the consequences and clinical expression of hypoestrogenism?"", ""option_a"": ""Vasomotor flushing, night sweats, and weight gain"", ""option_b"": ""Vaginal dryness, urinary or sexual problems with dyspareunia, and pelvic pain"", ""option_c"": ""Bilateral mastodynia, white vaginal discharge, and irritability"", ""option_d"": ""Arthralgia, myalgia, and loss of attention"", ""correct_option"": ""B""}",Positive diagnosis,"What are the main functional symptoms of climacteric, which are the consequences and clinical expression of hypoestrogenism?","Vasomotor flushing, night sweats, and weight gain","Vaginal dryness, urinary or sexual problems with dyspareunia, and pelvic pain","Bilateral mastodynia, white vaginal discharge, and irritability","Arthralgia, myalgia, and loss of attention",b
OIC-047-35-A,"{""question"": ""What are some of the components included in a child's health record?"", ""option_a"": ""Personal and family history, allergies, and vaccination records"", ""option_b"": ""Growth data, oral health information, and hospitalization records"", ""option_c"": ""Neonatal data, follow-up data, and growth curves"", ""option_d"": ""All of the above, including vaccinations, hospitalization records, and growth data"", ""correct_option"": ""D""}",Definition,What are some of the components included in a child's health record?,"Personal and family history, allergies, and vaccination records","Growth data, oral health information, and hospitalization records","Neonatal data, follow-up data, and growth curves","All of the above, including vaccinations, hospitalization records, and growth data",d
OIC-330-08-A,"{""question"": ""What is the mechanism of action of apixaban?"", ""option_a"": ""Inhibition of thrombin"", ""option_b"": ""Inhibition of factor Xa"", ""option_c"": ""Inhibition of vitamin K-dependent factors"", ""option_d"": ""Inhibition of platelet aggregation"", ""correct_option"": ""B""}",Management,What is the mechanism of action of apixaban?,Inhibition of thrombin,Inhibition of factor Xa,Inhibition of vitamin K-dependent factors,Inhibition of platelet aggregation,b
OIC-132-10-A,"{""question"": ""What is one aspect of psychosocial care for a patient with a neurocognitive disorder?"", ""option_a"": ""Providing legal protection measures, such as power of attorney, to ensure the patient's financial and administrative affairs are managed"", ""option_b"": ""Offering non-drug therapies, such as memory stimulation groups and art therapy workshops, to improve cognitive function"", ""option_c"": ""Protecting the patient from environmental risks, such as gas leaks, and ensuring they can manage medication properly"", ""option_d"": ""Providing a case manager to assess the patient's medical and social situation and provide guidance on care at home"", ""correct_option"": ""C""}",Management,What is one aspect of psychosocial care for a patient with a neurocognitive disorder?,"Providing legal protection measures, such as power of attorney, to ensure the patient's financial and administrative affairs are managed","Offering non-drug therapies, such as memory stimulation groups and art therapy workshops, to improve cognitive function","Protecting the patient from environmental risks, such as gas leaks, and ensuring they can manage medication properly",Providing a case manager to assess the patient's medical and social situation and provide guidance on care at home,c
OIC-247-11-B,"{""question"": ""What is the typical monitoring rhythm for diabetic retinopathy (RDNP) in children and adults?"", ""option_a"": ""Every 1-2 years, depending on blood pressure and HbA1c levels"", ""option_b"": ""Annual check-ups, regardless of blood pressure and HbA1c levels"", ""option_c"": ""Every 3-4 months, regardless of blood pressure and HbA1c levels"", ""option_d"": ""Every 5 years, regardless of blood pressure and HbA1c levels"", ""correct_option"": ""A""}",Positive diagnosis,What is the typical monitoring rhythm for diabetic retinopathy (RDNP) in children and adults?,"Every 1-2 years, depending on blood pressure and HbA1c levels","Annual check-ups, regardless of blood pressure and HbA1c levels","Every 3-4 months, regardless of blood pressure and HbA1c levels","Every 5 years, regardless of blood pressure and HbA1c levels",a
OIC-019-09-A,"{""question"": ""What is one of the main missions of health insurance under the general social security system?"", ""option_a"": ""To manage the risks of sickness, maternity, disability and death, as well as accidents at work and occupational diseases."", ""option_b"": ""To improve the health of the population, to the efficiency of the healthcare system and to the control of healthcare expenditure."", ""option_c"": ""To organize care and conduct the conventionnelle policy (relations between health professionals and the health insurance scheme)."", ""option_d"": ""To disseminate HAS recommendations to professionals and draw up comparative profiles of activity and prescriptions."", ""correct_option"": ""B""}",Definition,What is one of the main missions of health insurance under the general social security system?,"To manage the risks of sickness, maternity, disability and death, as well as accidents at work and occupational diseases.","To improve the health of the population, to the efficiency of the healthcare system and to the control of healthcare expenditure.",To organize care and conduct the conventionnelle policy (relations between health professionals and the health insurance scheme).,To disseminate HAS recommendations to professionals and draw up comparative profiles of activity and prescriptions.,b
OIC-005-06-A,"{""question"": ""What type of liability refers to damage related to care that occurs without any breach of professional or scientific rules or error?"", ""option_a"": ""Fault-based liability"", ""option_b"": ""No-fault liability"", ""option_c"": ""Administrative liability"", ""option_d"": ""Disciplinary liability"", ""correct_option"": ""B""}",Definition,What type of liability refers to damage related to care that occurs without any breach of professional or scientific rules or error?,Fault-based liability,No-fault liability,Administrative liability,Disciplinary liability,b
OIC-230-09-A,"{""question"": ""Which of the following biological tests should be prescribed for a patient with suspected Acute Coronary Syndrome (ACS)?"", ""option_a"": ""D-dimer to confirm the diagnosis of ACS"", ""option_b"": ""Troponins with a single measurement and a blood gas analysis"", ""option_c"": ""A complete blood count (CBC), platelets, blood ion count with creatinine, coagulation test (PT, APTT), and troponins with a cycle of 2 measurements 1 hour or 2 hours apart"", ""option_d"": ""CRP to rule out aortic dissection"", ""correct_option"": ""C""}",Additional tests,Which of the following biological tests should be prescribed for a patient with suspected Acute Coronary Syndrome (ACS)?,D-dimer to confirm the diagnosis of ACS,Troponins with a single measurement and a blood gas analysis,"A complete blood count (CBC), platelets, blood ion count with creatinine, coagulation test (PT, APTT), and troponins with a cycle of 2 measurements 1 hour or 2 hours apart",CRP to rule out aortic dissection,c
