id,question,option_a,option_b,option_c,option_d,correct_option,batch,model_answer,model_answer_val
OIC-360-01-A,What is a pneumothorax?,A collection of air in the pleural space,A condition where the lungs collapse due to fluid buildup,A type of lung disease that causes inflammation and scarring,A medical procedure to remove excess fluids from the body,a,batch1,"{ ""answer_option"" : ""A""}",a
OIC-360-08-A,What is the primary concern when diagnosing a pneumothorax?,The presence of severe respiratory distress,A large volume of air in the pleural space,Right heart failure and shock,Cardiac arrest,c,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-360-03-A,What is a characteristic feature of a positive clinical diagnosis of pneumothorax?,Increased respiratory rate,Decreased mobility and distension of the affected hemithorax,Abnormal heart sounds,Decrease in the intensity of the diaphragm's movement,b,batch1,"{ ""answer_option"" : ""B""}",b
OIC-360-11-B,What should you do if you have had multiple pneumothoraces?,Stop Smoking,Pleurodesis,Get a second opinion from another specialist,Just wait and see what happens,a,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-360-10-B,What is the primary indication for pleural drainage when a pneumothorax is secondary?,A chest X-ray is usually sufficient to monitor the drain position and lung reattachment.,The patient should be placed in a supine position with their hand on the same side as the pneumothorax above the head to clear the axillary region if the approach is via the axilla.,"A chest X-ray is usually sufficient to monitor the drain position and lung reattachment, but only if the patient has been informed in advance.",The primary indication for pleural drainage when a pneumothorax is secondary is that the pleural breach is expected to take time to close.,d,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-360-04-A,What is a characteristic sign of tension pneumothorax on a standard chest X-ray?,A hyperclaric line on the cardiac silhouette,A retraction of the lung parenchyma onto its hilum,A subcutaneous emphysema with air under the skin,A horizontal hydroaerobic level (hydropneumothorax),a,batch1,"{ ""answer_option"" : ""B""}",b
OIC-360-02-B,What is the primary difference between a primary and secondary pneumothorax?,"Primary pneumothorax occurs due to spontaneous rupture of a lung bulla, whereas secondary pneumothorax is caused by an underlying lung disease.",Both are caused by air entering the pleural space without any apparent cause.,"Secondary pneumothorax typically develops in people with chronic obstructive pulmonary disease (COPD), while primary pneumothorax occurs in healthy individuals.","Primary and secondary pneumothorax both involve the presence of air in the pleural space, but secondary pneumothorax is more likely to be associated with underlying lung diseases.",a,batch1,"{ ""answer_option"" : ""B"" }",b
OIC-360-07-A,What is the main difference between traumatic and primary spontaneous pneumothoraces?,"Traumatic PNO occurs in individuals with a history of trauma or physical exertion, while PNO occurs spontaneously without any known cause.","Primary spontaneous pneumothorax typically affects older adults, whereas traumatic pneumothorax is more common in young people.","Both traumatic and primary spontaneous pneumothoraces are caused by the same underlying condition, such as emphysema or tuberculosis.",Secondary spontaneous pneumothorax occurs when a pre-existing lung disease causes air to leak into the pleural space.,a,batch1,"{ ""answer_option"" : ""A"" }",a
OIC-360-09-A,What is the primary goal of performing pleural exsufflation in cases of large spontaneous complete pneumothorax?,To relieve pressure on the lung,To drain fluid from the pleural space,To increase oxygen levels in the blood,To reduce pain and discomfort,a,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-258-09-A,What is a characteristic of functional renal failure?,True hypovolemia,Effective hypovolemia,Increased intracranial pressure,Hypertension,b,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-258-07-A,What is the primary clinical sign of obstructive urethral obstruction supporting an increase in creatininemia?,Significant dysuria during questioning.,A large kidney on percussion.,Tenderness in the lumbar fossa during palpation.,Pelvic examination for prostate adenoma or bladder neck disease.,a,batch1,"{ ""answer_option"" : ""A"" }",a
OIC-258-08-B,What is the primary test to confirm obstructive ureteral pathology?,Imaging of the kidneys and bladder,Complete blood count (CBC),Urine culture,Renal ultrasound with contrast,d,batch1,"{ ""answer_option"" : ""a""}",a
OIC-258-04-A,When should creatinine be measured?,Diabetes,Hypertension,Obesity,Age > 60 years,d,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-258-02-A,What is the correct formula for estimating glomerular filtration rate (GFR) in adults?,1. MDRD = 0.85 √ Creatinine,2. CKD-EPI = 0.154 √ Creatinine,3. Schwartz = 0.0125 √ Creatinine,4. DTPA Clearance = GFR,b,batch1,"{ ""answer_option"" : ""a"" }",a
OIC-258-11-A,What is the most common parenchymal cause of acute elevation of creatinine in adults?,Glomerular Nephropathy,Tubulointerstitial Nephropathy,Vascular Parenchymal Deterioration,Renal-Vascular Involvement,b,batch1,"{ ""answer_option"" : ""a"" }",a
