id,mcq_json,rubric,question,option_a,option_b,option_c,option_d,correct_option
OIC-242-01-A,"{""question"": ""What is the primary definition of hyperthyroidism?"", ""option_a"": ""Excess production of thyroid hormones linked to hyperfunction of the thyroid gland."", ""option_b"": ""A condition where the thyroid gland does not produce enough thyroid hormones."", ""option_c"": ""A condition where the thyroid gland produces too little thyroid hormones."", ""option_d"": ""A condition where the thyroid gland is affected by an autoimmune response."", ""correct_option"": ""option_a""}",Definition,What is the primary definition of hyperthyroidism?,Excess production of thyroid hormones linked to hyperfunction of the thyroid gland.,A condition where the thyroid gland does not produce enough thyroid hormones.,A condition where the thyroid gland produces too little thyroid hormones.,A condition where the thyroid gland is affected by an autoimmune response.,option_a
OIC-197-09-A,"{""question"": ""What is the characteristic feature of dactylitis in spondyloarthritis?"", ""option_a"": ""A. Inflammation of the skin"", ""option_b"": ""B. Inflammation of the tendons and ligaments"", ""option_c"": ""C. Inflammation of the joints"", ""option_d"": ""D. Inflammation of the tendons and ligaments and the skin"", ""correct_option"": ""C""}",Multimedia content,What is the characteristic feature of dactylitis in spondyloarthritis?,A. Inflammation of the skin,B. Inflammation of the tendons and ligaments,C. Inflammation of the joints,D. Inflammation of the tendons and ligaments and the skin,c
OIC-101-01-B,"{""question"": ""What is the main function of the facial nerve?"", ""option_a"": ""Innervation of all the skin muscles of the face and neck, as well as the stapedial muscle of the middle ear."", ""option_b"": ""Secretion from the lacrimal and salivary glands."", ""option_c"": ""Innervation of the skin of the concha of the ear (Ramsay-Hunt zone)."", ""option_d"": ""Innervation of the muscles of the tongue."", ""correct_option"": ""Innervation of all the skin muscles of the face and neck, as well as the stapedial muscle of the middle ear.""}",Pathophysiological elements,What is the main function of the facial nerve?,"Innervation of all the skin muscles of the face and neck, as well as the stapedial muscle of the middle ear.",Secretion from the lacrimal and salivary glands.,Innervation of the skin of the concha of the ear (Ramsay-Hunt zone).,Innervation of the muscles of the tongue.,"innervation of all the skin muscles of the face and neck, as well as the stapedial muscle of the middle ear."
OIC-215-01-A,"{""question"": ""What is the primary characteristic of purpura?"", ""option_a"": ""A) Variable in appearance: punctiform, 'pinhead' (petechial purpura), in the form of linear streaks (vibices) or larger lesions (ecchymotic purpura)"", ""option_b"": ""B) Associated with extravasation of blood into the dermis"", ""option_c"": ""C) Do not disappear with vitro-pressure"", ""option_d"": ""D) Red or purplish skin lesions"", ""correct_option"": ""A""}",,What is the primary characteristic of purpura?,"A) Variable in appearance: punctiform, 'pinhead' (petechial purpura), in the form of linear streaks (vibices) or larger lesions (ecchymotic purpura)",B) Associated with extravasation of blood into the dermis,C) Do not disappear with vitro-pressure,D) Red or purplish skin lesions,a
OIC-082-02-A,"{""question"": ""What is the typical duration of transient monocular blindness?"", ""option_a"": ""A few seconds"", ""option_b"": ""A few minutes"", ""option_c"": ""A few hours"", ""option_d"": ""A few days"", ""correct_option"": ""A few minutes""}",Definition,What is the typical duration of transient monocular blindness?,A few seconds,A few minutes,A few hours,A few days,a few minutes
OIC-353-02-A,"{""question"": ""What is the estimated lifetime suicide mortality rate for a person who has attempted suicide?"", ""option_a"": ""10%"", ""option_b"": ""20%"", ""option_c"": ""40%"", ""option_d"": ""50%"", ""correct_option"": ""40%""}",Epidemiology,What is the estimated lifetime suicide mortality rate for a person who has attempted suicide?,10%,20%,40%,50%,40%
OIC-227-01-A,"{""question"": ""What is the main difference between chronic venous insufficiency (CVI) and varicose veins?"", ""option_a"": ""Varicose veins are caused by a sudden increase in blood pressure, while CVI is caused by a gradual decrease in blood flow."", ""option_b"": ""Varicose veins are more common in men than women, while CVI is more common in older adults."", ""option_c"": ""Varicose veins are a sign of poor circulation, while CVI is a sign of poor venous return."", ""option_d"": ""Varicose veins are a result of a genetic disorder, while CVI is a result of a lifestyle factor."", ""correct_option"": ""option_b""}",Definition,What is the main difference between chronic venous insufficiency (CVI) and varicose veins?,"Varicose veins are caused by a sudden increase in blood pressure, while CVI is caused by a gradual decrease in blood flow.","Varicose veins are more common in men than women, while CVI is more common in older adults.","Varicose veins are a sign of poor circulation, while CVI is a sign of poor venous return.","Varicose veins are a result of a genetic disorder, while CVI is a result of a lifestyle factor.",option_b
OIC-288-05-A,"{""question"": ""What is the typical presentation of external haemorrhoidal thrombosis?"", ""option_a"": ""A. A sudden onset of severe pain and bleeding"", ""option_b"": ""B. A sudden onset of severe pain and bleeding, with a sensation of cooking or burning"", ""option_c"": ""C. A gradual onset of a bluish swelling with a tender and indurated texture"", ""option_d"": ""D. A sudden onset of severe pain and bleeding, with a sensation of sharp pain in the anus"", ""correct_option"": ""C""}",Positive diagnosis,What is the typical presentation of external haemorrhoidal thrombosis?,A. A sudden onset of severe pain and bleeding,"B. A sudden onset of severe pain and bleeding, with a sensation of cooking or burning",C. A gradual onset of a bluish swelling with a tender and indurated texture,"D. A sudden onset of severe pain and bleeding, with a sensation of sharp pain in the anus",c
OIC-027-19-B,"{""question"": ""What is the primary mechanism of maternal-fetal transmission of listeriosis?"", ""option_a"": ""Bacteremia of the mother's bloodstream"", ""option_b"": ""Transplacental passage of Listeria monocytogenes through the placenta"", ""option_c"": ""Inhalation of Listeria monocytogenes through the mother's respiratory tract"", ""option_d"": ""Absorption of Listeria monocytogenes through the mother's skin"", ""correct_option"": ""option_b""}",Physiopathology,What is the primary mechanism of maternal-fetal transmission of listeriosis?,Bacteremia of the mother's bloodstream,Transplacental passage of Listeria monocytogenes through the placenta,Inhalation of Listeria monocytogenes through the mother's respiratory tract,Absorption of Listeria monocytogenes through the mother's skin,option_b
OIC-179-04-B,"{""question"": ""What is the most common source of water pollution?"", ""option_a"": ""Mineral salt imbalances due to natural contamination or disruption caused by man-made additions."", ""option_b"": ""Radioactive pollution is the lowest apart from exceptional accidents."", ""option_c"": ""Chemical pollution is probably the most common."", ""option_d"": ""Thermal pollution linked to various human activities poses a health risk through the microbiological proliferation it causes (free amoebae, legionella, algae, etc.)."", ""correct_option"": ""option_c""}",Definition,What is the most common source of water pollution?,Mineral salt imbalances due to natural contamination or disruption caused by man-made additions.,Radioactive pollution is the lowest apart from exceptional accidents.,Chemical pollution is probably the most common.,"Thermal pollution linked to various human activities poses a health risk through the microbiological proliferation it causes (free amoebae, legionella, algae, etc.).",option_c
