id,question,option_a,option_b,option_c,option_d,correct_option
OIC-328-06-B,What is the main indication for using an orthosis in a patient with a fracture of the pelvis?,Trauma,Perforating injury,Neuroarthropathy,Rheumatoid pathology,a
OIC-328-12-B,What is the main difference between a thermal agent and a non-thermal agent in spa treatments?,"A thermal agent is an external water source (e.g., hot bath), while a non-thermal agent is an internal treatment (e.g., drinking cures).","A thermal agent is used for respiratory ailments, while a non-thermal agent is used for digestive or metabolic disorders.",Both thermal and non-thermal agents are administered through inhalation or application to the skin/mucous membranes.,"The main difference between a thermal agent and a non-thermal agent is that thermal agents have a shorter duration of action (e.g., hot bath vs. drinking cures).",c
OIC-328-05-A,What is the primary objective of orthotic treatment?,Substitution,Correction,Downtime,Stabilization,a
OIC-328-08-A,What is a key component of a femoral prosthesis?,Articular sleeve,Non-articular sleeve,Residual limb socket,Upper limb end effector,option_a
OIC-328-02-A,What is the main purpose of a device classified under ANSM?,To treat a specific medical condition,To provide general information to patients,To improve patient outcomes through non-medical means,To increase profits for manufacturers,c
OIC-328-07-B,What is the main difference between a small orthosis and a large orthosis?,"A small orthosis is used for minor mobility issues, while a large orthosis is used for more severe conditions.",Both are designed to treat the same condition,"A small orthosis is only used on one side of the body, while a large orthosis is used on both sides.",The size and type of orthosis depends on the individual's height.,option_a
OIC-328-04-B,What is the main difference between a minor and major medical device?,A compression stocking,A lumbar belt,An orthotic device,A simple prescription form,a
OIC-328-10-B,What is the main purpose of a verticalizer?,To improve mobility,To increase independence in standing,To reduce pressure sores,To enhance hygiene,a
OIC-328-09-A,What is the correct reimbursement percentage for custom-made orthopedic shoes?,100%,60-, ,80%,b
OIC-328-03-B,What is the main difference between a 'hospital charge' and an 'LPPR tariff',"A hospital charge covers all medical devices, regardless of their purpose, while an LPPR tariff only covers devices that are included on the 'extra' list",Both hospital charges and LPPR tariffs cover similar types of devices,"The hospital charge is linked to the entire procedure, while the LPPR tariff is only applied to individual use",There is no difference between a hospital charge and an LPPR tariff,option_a
OIC-328-01-A,What is typically assessed in evaluating non-drug therapies?,Patient's cognitive function,Environmental factors,"Therapeutic efficacy ratio (impairment, activities, and participation with the device) / tolerance (complications)",Activity limitations,option_c
OIC-328-11-A,What is required for a trial electric wheelchair?,A simple prescription and a written order,"A trial to ensure suitability for the disability, conducted by a physiotherapist or occupational therapist alone",A consultation with health insurance representatives only,None required,option_a
OIC-019-05-A,What is the main purpose of the General Scheme in France?,To provide universal coverage of the population,To cover all types of social risks except disability,To manage the financial resources of salaried workers only,To provide a new branch for loss of autonomy and disability,a
