id,mcq_json,rubric,question,option_a,option_b,option_c,option_d,correct_option
OIC-027-36-B,"{""question"": ""What is the primary goal of withdrawal management in pregnancy?"", ""option_a"": ""To reduce the risk of miscarriage"", ""option_b"": ""To minimize the risk of low birth weight"", ""option_c"": ""To help pregnant women quit smoking"", ""option_d"": ""To determine the level of nicotine dependence"", ""correct_option"": ""C""}",Management,What is the primary goal of withdrawal management in pregnancy?,To reduce the risk of miscarriage,To minimize the risk of low birth weight,To help pregnant women quit smoking,To determine the level of nicotine dependence,c
OIC-162-17-B,"{""question"": ""What is typically done after a direct examination of the cervix in a woman with an upper genital infection?"", ""option_a"": ""Send the sample to a microbiology laboratory for culture and PCR analysis"", ""option_b"": ""Perform a blood test to check for elevated CRP levels"", ""option_c"": ""Take a sample of cervical tissue for histopathological examination"", ""option_d"": ""Administer antibiotics without waiting for test results"", ""correct_option"": ""A""}",Additional tests,What is typically done after a direct examination of the cervix in a woman with an upper genital infection?,Send the sample to a microbiology laboratory for culture and PCR analysis,Perform a blood test to check for elevated CRP levels,Take a sample of cervical tissue for histopathological examination,Administer antibiotics without waiting for test results,a
OIC-261-07-B,"{""question"": ""What is the main histological feature of IgA nephropathy?"", ""option_a"": ""Extracapillary proliferation with linear IgG deposits"", ""option_b"": ""Mesangial IgA and C3 deposits"", ""option_c"": ""Endocapillary proliferation with C3 in 'starry sky' pattern"", ""option_d"": ""Extracapillary proliferation with IgM and C1q deposits"", ""correct_option"": ""B""}",Definition,What is the main histological feature of IgA nephropathy?,Extracapillary proliferation with linear IgG deposits,Mesangial IgA and C3 deposits,Endocapillary proliferation with C3 in 'starry sky' pattern,Extracapillary proliferation with IgM and C1q deposits,b
OIC-235-04-A,"{""question"": ""What is the typical evolution of the electrocardiogram (ECG) in acute pericarditis?"", ""option_a"": ""Stage 1: concave downward ST depression, diffuse, no mirror, no Q wave, negative T waves on day 1."", ""option_b"": ""Stage 1: concave upward ST elevation, diffuse, no mirror, no Q wave, positive T waves on day 1."", ""option_c"": ""Stage 1: flat T waves between the 24th and 48th hour, followed by negative T waves for the first week."", ""option_d"": ""Stage 1: normalization of the ECG within the first week, with no further changes."", ""correct_option"": ""b""}",,What is the typical evolution of the electrocardiogram (ECG) in acute pericarditis?,"Stage 1: concave downward ST depression, diffuse, no mirror, no Q wave, negative T waves on day 1.","Stage 1: concave upward ST elevation, diffuse, no mirror, no Q wave, positive T waves on day 1.","Stage 1: flat T waves between the 24th and 48th hour, followed by negative T waves for the first week.","Stage 1: normalization of the ECG within the first week, with no further changes.",b
OIC-183-05-B,"{""question"": ""What is the primary purpose of a company sheet in occupational health?"", ""option_a"": ""To record the employee's medical history and occupational exposure"", ""option_b"": ""To provide recommendations for reducing occupational risks and adapting the workstation"", ""option_c"": ""To transmit information on the employee's pathology to the employer"", ""option_d"": ""To document the occupational physician's opinion on hazards and constraints linked to the organisation of work"", ""correct_option"": ""D""}",Definition,What is the primary purpose of a company sheet in occupational health?,To record the employee's medical history and occupational exposure,To provide recommendations for reducing occupational risks and adapting the workstation,To transmit information on the employee's pathology to the employer,To document the occupational physician's opinion on hazards and constraints linked to the organisation of work,d
OIC-162-09-B,"{""question"": ""What is the most common cause of urethritis in men?"", ""option_a"": ""Trichomoniasis"", ""option_b"": ""Chlamydia"", ""option_c"": ""Gonorrhoea"", ""option_d"": ""Escherichia"", ""correct_option"": ""A""}",Etiologies,What is the most common cause of urethritis in men?,Trichomoniasis,Chlamydia,Gonorrhoea,Escherichia,a
OIC-191-03-A,"{""question"": ""The clinical examination of a fever in an immunocompromised patient should include a thorough examination of the following points, in an undressed patient:"", ""option_a"": ""Blood pressure, heart rate, respiratory rate, temperature, Glasgow score, HaemoglocuTest, diuresis, and abdominal palpation"", ""option_b"": ""Blood pressure, heart rate, respiratory rate, temperature, Glasgow score, HaemoglocuTest, diuresis, and urinary catheter examination"", ""option_c"": ""Blood pressure, heart rate, respiratory rate, temperature, Glasgow score, HaemoglocuTest, diuresis, and thorough examination of the perineum"", ""option_d"": ""Blood pressure, heart rate, respiratory rate, temperature, Glasgow score, HaemoglocuTest, diuresis, and thorough examination of the entire skin covering and mucosa"", ""correct_option"": ""C""}",Positive diagnosis,"The clinical examination of a fever in an immunocompromised patient should include a thorough examination of the following points, in an undressed patient:","Blood pressure, heart rate, respiratory rate, temperature, Glasgow score, HaemoglocuTest, diuresis, and abdominal palpation","Blood pressure, heart rate, respiratory rate, temperature, Glasgow score, HaemoglocuTest, diuresis, and urinary catheter examination","Blood pressure, heart rate, respiratory rate, temperature, Glasgow score, HaemoglocuTest, diuresis, and thorough examination of the perineum","Blood pressure, heart rate, respiratory rate, temperature, Glasgow score, HaemoglocuTest, diuresis, and thorough examination of the entire skin covering and mucosa",c
OIC-032-04-B,"{""question"": ""At what age is neonatal blood screening typically carried out?"", ""option_a"": ""48 hours"", ""option_b"": ""72 hours"", ""option_c"": ""1 week"", ""option_d"": ""2 weeks"", ""correct_option"": ""B""}",Management,At what age is neonatal blood screening typically carried out?,48 hours,72 hours,1 week,2 weeks,b
OIC-132-10-A,"{""question"": ""What is the primary goal of psychosocial care for a patient with a neurocognitive disorder?"", ""option_a"": ""To improve the patient's physical health through medication and medical treatment"", ""option_b"": ""To provide the patient with a structured daily routine and activities to manage their symptoms"", ""option_c"": ""To protect the patient from environmental risks and ensure their safety at home"", ""option_d"": ""To educate the patient and their carers about the disease and its management"", ""correct_option"": ""C""}",Management,What is the primary goal of psychosocial care for a patient with a neurocognitive disorder?,To improve the patient's physical health through medication and medical treatment,To provide the patient with a structured daily routine and activities to manage their symptoms,To protect the patient from environmental risks and ensure their safety at home,To educate the patient and their carers about the disease and its management,c
OIC-288-06-A,"{""question"": ""The clinical manifestations of internal haemorrhoids can be described as either"", ""option_a"": ""a single episode of intense pain followed by a few days of relief"", ""option_b"": ""two distinct phases: an acute phase with symptoms such as anal bleeding and pain, and a chronic phase with symptoms like defecatory burning and bleeding"", ""option_c"": ""a gradual increase in symptoms that worsen over time, often accompanied by anal pruritus"", ""option_d"": ""a sudden onset of severe pain and bleeding that resolves on its own within a few hours"", ""correct_option"": ""b""}",Positive diagnosis,The clinical manifestations of internal haemorrhoids can be described as either,a single episode of intense pain followed by a few days of relief,"two distinct phases: an acute phase with symptoms such as anal bleeding and pain, and a chronic phase with symptoms like defecatory burning and bleeding","a gradual increase in symptoms that worsen over time, often accompanied by anal pruritus",a sudden onset of severe pain and bleeding that resolves on its own within a few hours,b
