id,rubric,question,option_a,option_b,option_c,option_d,correct_option
OIC-328-06-B,Management of costs,What type of orthosis is typically provided as a discharge or semi-discharge orthosis?,Immobilisation Orthoses,Stabilisation Orthoses,Posture Orthoses,Discharge or Semi-discharge Orthoses,d
OIC-328-12-B,Definition,What type of water is used for diuresis cures?,Hyperthermal,Mesothermal,Sulphur,Cold,d
OIC-328-05-A,Definition,What is the primary function of an orthosis?,To provide support and stability to a limb or segment that has been injured,To correct alignment issues in the spine without surgery,To replace a missing or deficient part of a limb entirely,To alleviate pain through heat therapy,b
OIC-328-08-A,Definition,What is the primary function of an Intermediate Effectors - Connecting Pieces in a femoral prosthesis?,To connect the socket to the end effector,To provide additional support to the residual limb,To facilitate movement between the socket and end effector,To enhance aesthetic appearance of the prosthesis,c
OIC-328-02-A,Definition,What is a medical device?,Any instrument or equipment used in medical treatment.,A product that is not of human origin but is used for medical purposes.,"An instrument, apparatus, or material used alone or in combination to obtain a pharmacological effect.",Only products with a pharmaceutical action are considered medical devices.,b
OIC-328-07-B,,What is the primary purpose of prescribing orthoses?,To relieve pain,To support or stabilize a joint or limb,To improve muscle strength,To reduce inflammation,b
OIC-328-04-B,Definition,What is the primary difference between minor and major appliances?,"Minor appliances are prescription-only, while major appliances require a specialist doctor's initial prescription.","Major appliances can be prescribed by any healthcare professional, while minor appliances require prior agreement from a specialist.","Major appliances are reimbursed at 100%, while minor appliances are reimbursed at 60%.","Major appliances compensate for deficient organic functions, while minor appliances do not.",a
OIC-328-10-B,Definition,What is the primary objective of a walking aid?,Improving vision,Stabilizing movement,Enhancing hearing,Supporting communication,b
OIC-328-09-A,Definition,What type of footwear is typically reimbursed at 60% and prescribed by any doctor?,Custom-made Orthopedic Shoes,Standard Therapeutic Footwear,Foot Orthoses,Orthoplasty,b
OIC-328-03-B,Management,What type of reimbursement covers the financing of medical devices used in hospitals?,DM,GHS,LPPR,Procedure-based DM,b
OIC-328-01-A,Evaluation,"After an initial assessment, non-drug therapies are prescribed for which of the following?",Only disabilities,Only participation restrictions,Impairment and activity limitations,Environmental factors alone,c
OIC-328-11-A,Definition,What is a general rule for prescribing an electric wheelchair?,Any doctor can prescribe it.,It requires a trial with a PRM doctor and a physiotherapist or occupational therapist to ensure suitability and safety.,Health insurance covers the purchase of any electric wheelchair.,"A simple prescription is all that's needed, along with a certificate from a doctor.",b
OIC-019-05-A,Definition,What type of risk does the Family branch of the General Scheme primarily manage?,Accidents at work,"Sickness, maternity, disability, death, accidents at work, and occupational diseases",Loss of autonomy and disability,"Risk related to family life, such as childcare and housing",d
OIC-019-12-A,,What is the purpose of the ALD (Listed Illness) care protocol?,To provide a diagnosis of a disease,"To exempt patients from co-payment for care related to their listed illness, and to ensure they comply with treatment plans",To create a new prescription format for doctors to use,To allow patients direct access to specialists only in emergency situations,b
OIC-019-08-A,Definition,What is the primary reason for the decline of special social security schemes?,The reduction in the number of workers in industrial sectors,The increasing alignment with the Régime Général and convergence in benefits payment,The growth of new industries and job opportunities,A decline in economic activity due to global events,a
OIC-019-04-B,,What is the primary source of funding for social protection in France?,CSG (General Social Contribution),Employer's health insurance contribution,Taxes on income and wealth,Social security contributions,d
OIC-019-10-A,,What is the purpose of the 'ticket modérateur'?,To regulate healthcare consumption by making patients financially responsible,To reimburse patients for all healthcare costs without a fixed contribution,To provide third-party payment for care structures and health professionals,To exempt beneficiaries of complementary health insurance from paying medical excess,a
OIC-019-07-B,Definition,What is the primary purpose of the National Health Insurance Expenditure Target (ONDAM)?,To monitor health insurance expenditure in France annually.,"To set a budget for outpatient and inpatient care, whether provided privately or publicly.",To track trends in health insurance expenditure that are incompatible with compliance with the national target.,To determine revenue forecasts and social security expenditure targets only for public establishments.,b
