"id","mcq_json","rubric","question","option_a","option_b","option_c","option_d","correct_option"
"OIC-005-01-A","{""question"": ""What is required for a user to receive compensation for the harmful consequences of a medical act?"", ""option_a"": ""Only that the act caused the damage"", ""option_b"": ""Only that the act gave rise to liability"", ""option_c"": ""That the act caused the damage, that it gave rise to liability, and that there was a causal link between the act and the damage"", ""option_d"": ""That the user suffered physical or mental injury as a result of the act"", ""correct_option"": ""C""}","Definition","What is required for a user to receive compensation for the harmful consequences of a medical act?","Only that the act caused the damage","Only that the act gave rise to liability","That the act caused the damage, that it gave rise to liability, and that there was a causal link between the act and the damage","That the user suffered physical or mental injury as a result of the act","c"
"OIC-005-02-A","{""question"": ""What is the primary purpose of criminal liability in the context of medical practice?"", ""option_a"": ""To provide financial compensation to patients who have suffered harm"", ""option_b"": ""To punish individuals whose behaviour is reprehensible in society"", ""option_c"": ""To promote a culture of transparency and accountability within healthcare institutions"", ""option_d"": ""To establish a framework for resolving civil disputes between patients and healthcare providers"", ""correct_option"": ""B""}","Definition","What is the primary purpose of criminal liability in the context of medical practice?","To provide financial compensation to patients who have suffered harm","To punish individuals whose behaviour is reprehensible in society","To promote a culture of transparency and accountability within healthcare institutions","To establish a framework for resolving civil disputes between patients and healthcare providers","b"
"OIC-005-03-A","{""question"": ""Who bears civil liability for damage caused to a patient by a doctor employed by a private establishment?"", ""option_a"": ""The doctor, regardless of their actions"", ""option_b"": ""The employer of the doctor, if the doctor acted within the scope of their mission"", ""option_c"": ""The patient, for not seeking a second opinion"", ""option_d"": ""The court, for not properly assessing the situation"", ""correct_option"": ""B""}","Definition","Who bears civil liability for damage caused to a patient by a doctor employed by a private establishment?","The doctor, regardless of their actions","The employer of the doctor, if the doctor acted within the scope of their mission","The patient, for not seeking a second opinion","The court, for not properly assessing the situation","b"
"OIC-005-04-A","{""question"": ""In the context of administrative liability, what type of fault refers to misconduct committed by a public official in the performance of their duties, using official resources and without personal interest?"", ""option_a"": ""Fault in the organisation and operation of the department"", ""option_b"": ""Official misconduct"", ""option_c"": ""Personal misconduct or misconduct detached from the service"", ""option_d"": ""Therapeutic hazard"", ""correct_option"": ""B""}","Definition","In the context of administrative liability, what type of fault refers to misconduct committed by a public official in the performance of their duties, using official resources and without personal interest?","Fault in the organisation and operation of the department","Official misconduct","Personal misconduct or misconduct detached from the service","Therapeutic hazard","b"
"OIC-005-05-A","{""question"": ""What is the primary body responsible for disciplinary liability in the medical profession?"", ""option_a"": ""The Penal Code"", ""option_b"": ""The Ordre des M\u00e9decins"", ""option_c"": ""The Conseil d'Etat"", ""option_d"": ""The Public Health Code"", ""correct_option"": ""B""}","Definition","What is the primary body responsible for disciplinary liability in the medical profession?","The Penal Code","The Ordre des Médecins","The Conseil d'Etat","The Public Health Code","b"
"OIC-005-06-A","{""question"": ""What is the term used to describe liability for damage related to care that occurs without any breach of professional or scientific rules or error?"", ""option_a"": ""Fault-based liability"", ""option_b"": ""No-fault liability"", ""option_c"": ""Administrative liability"", ""option_d"": ""Disciplinary liability"", ""correct_option"": ""B""}","Definition","What is the term used to describe liability for damage related to care that occurs without any breach of professional or scientific rules or error?","Fault-based liability","No-fault liability","Administrative liability","Disciplinary liability","b"
"OIC-005-07-A","{""question"": ""According to Article L.1142-1 of the French Public Health Code, what is the condition for health professionals and establishments to be liable for the harmful consequences of preventive, preventive or therapeutic acts?"", ""option_a"": ""If the act was performed without the patient's consent"", ""option_b"": ""If the act resulted in harm to the patient"", ""option_c"": ""If they are at fault"", ""option_d"": ""If the act was not in line with the latest medical research"", ""correct_option"": ""C""}","Definition","According to Article L.1142-1 of the French Public Health Code, what is the condition for health professionals and establishments to be liable for the harmful consequences of preventive, preventive or therapeutic acts?","If the act was performed without the patient's consent","If the act resulted in harm to the patient","If they are at fault","If the act was not in line with the latest medical research","c"
"OIC-005-08-A","{""question"": ""What type of error occurs when a necessary action has not been taken in a medical context?"", ""option_a"": ""Error of commission"", ""option_b"": ""Error of execution"", ""option_c"": ""Error of omission"", ""option_d"": ""Violation or non-compliance"", ""correct_option"": ""C""}","Definition","What type of error occurs when a necessary action has not been taken in a medical context?","Error of commission","Error of execution","Error of omission","Violation or non-compliance","c"
"OIC-005-09-A","{""question"": ""What is the primary distinction between a medical accident and an iatrogenic condition?"", ""option_a"": ""A medical accident is caused by an error, while an iatrogenic condition is not."", ""option_b"": ""A medical accident occurs in a public healthcare setting, while an iatrogenic condition occurs in a private setting."", ""option_c"": ""A medical accident results from abnormal damage, while an iatrogenic condition is a expected outcome of treatment."", ""option_d"": ""A medical accident implies fault, while an iatrogenic condition is an unintended consequence of correct treatment."", ""correct_option"": ""D""}","Definition","What is the primary distinction between a medical accident and an iatrogenic condition?","A medical accident is caused by an error, while an iatrogenic condition is not.","A medical accident occurs in a public healthcare setting, while an iatrogenic condition occurs in a private setting.","A medical accident results from abnormal damage, while an iatrogenic condition is a expected outcome of treatment.","A medical accident implies fault, while an iatrogenic condition is an unintended consequence of correct treatment.","d"
"OIC-005-10-A","{""question"": ""What is the primary characteristic that defines a nosocomial infection?"", ""option_a"": ""An infection that is present upon admission to a healthcare establishment"", ""option_b"": ""An infection that is contracted during a stay in a healthcare establishment"", ""option_c"": ""An infection that is only contracted through surgical procedures"", ""option_d"": ""An infection that is always incubating upon admission to a hospital"", ""correct_option"": ""B""}","Definition","What is the primary characteristic that defines a nosocomial infection?","An infection that is present upon admission to a healthcare establishment","An infection that is contracted during a stay in a healthcare establishment","An infection that is only contracted through surgical procedures","An infection that is always incubating upon admission to a hospital","b"
"OIC-005-11-A","{""question"": ""What is the primary characteristic that distinguishes a therapeutic hazard from a medical error?"", ""option_a"": ""The severity of the outcome"", ""option_b"": ""The intent of the healthcare provider"", ""option_c"": ""The inevitability of the event despite compliant and error-free care"", ""option_d"": ""The presence of a nosocomial infection"", ""correct_option"": ""C""}","Definition","What is the primary characteristic that distinguishes a therapeutic hazard from a medical error?","The severity of the outcome","The intent of the healthcare provider","The inevitability of the event despite compliant and error-free care","The presence of a nosocomial infection","c"
"OIC-005-12-B","{""question"": ""What are the main factors that can lead to litigation following a medical accident?"", ""option_a"": ""Only factors related to the patient, such as their state of health and communication difficulties"", ""option_b"": ""Factors related to the patient, tasks, team, working environment, organisation and management, and institutional context"", ""option_c"": ""Primarily factors related to the team, such as communication within the team and supervision of junior staff"", ""option_d"": ""Exclusively factors related to the working environment, such as physical premises and equipment"", ""correct_option"": ""B""}","Epidemiology","What are the main factors that can lead to litigation following a medical accident?","Only factors related to the patient, such as their state of health and communication difficulties","Factors related to the patient, tasks, team, working environment, organisation and management, and institutional context","Primarily factors related to the team, such as communication within the team and supervision of junior staff","Exclusively factors related to the working environment, such as physical premises and equipment","b"
"OIC-005-13-A","{""question"": ""What is a key characteristic of a 'learning organisation' in the context of error prevention and management?"", ""option_a"": ""It blames individuals for mistakes to encourage personal responsibility"", ""option_b"": ""It has systems in place for identifying, analysing, and preventing errors"", ""option_c"": ""It ignores errors to maintain a positive work environment"", ""option_d"": ""It focuses solely on punishing mistakes to deter future occurrences"", ""correct_option"": ""B""}","Definition","What is a key characteristic of a 'learning organisation' in the context of error prevention and management?","It blames individuals for mistakes to encourage personal responsibility","It has systems in place for identifying, analysing, and preventing errors","It ignores errors to maintain a positive work environment","It focuses solely on punishing mistakes to deter future occurrences","b"
"OIC-005-14-B","{""question"": ""What is the primary purpose of conducting a root cause analysis after a medical error has occurred?"", ""option_a"": ""To assign blame to the individual responsible for the error"", ""option_b"": ""To identify the underlying systemic factors that contributed to the error"", ""option_c"": ""To develop a plan for disciplining staff involved in the error"", ""option_d"": ""To create a report for regulatory or legal purposes only"", ""correct_option"": ""B""}",,"What is the primary purpose of conducting a root cause analysis after a medical error has occurred?","To assign blame to the individual responsible for the error","To identify the underlying systemic factors that contributed to the error","To develop a plan for disciplining staff involved in the error","To create a report for regulatory or legal purposes only","b"
