id,rubric,question,option_a,option_b,option_c,option_d,correct_option
OIC-328-06-B,Management of costs,What type of orthosis is the Orthèse cruro-pédieuse?,Immobilisation Orthosis,Stabilisation Orthosis,Posture Orthosis,Discharge or Semi-discharge Orthosis,d
OIC-328-12-B,Definition,What type of water is used for respiratory indications?,Sulphate,Sodic Chlorides,Gas Carbonates,H2S (Sulphur),d
OIC-328-05-A,Definition,What is the primary purpose of an orthosis?,To provide rest and relaxation for a limb,To stabilize and correct a deficient or damaged limb segment,To substitute a missing limb with a prosthetic device,To reduce downtime after injury or surgery,b
OIC-328-08-A,Definition,What is the primary function of an intermediate effector in a limb prosthesis?,To connect the end effector to the socket,To provide additional support to the residual limb,To facilitate movement and control of the end effector,To enhance aesthetic appeal of the prosthesis,c
OIC-328-02-A,Definition,What is the primary purpose of EU Regulation 2017/745 regarding medical devices?,To regulate prices and reimbursements,To standardize marketing and commissioning within the EU,To restrict the use of medical devices to pharmacological means only,To ban the sale of medical devices in the EU,b
OIC-328-07-B,,"When prescribing an orthosis, what is the primary consideration?",The patient's medical history,The type of activity the patient will be doing while wearing the orthosis,The cost of the orthosis to the healthcare system,The patient's personal preference for color and style,b
OIC-328-04-B,Definition,What is the primary characteristic that distinguishes major appliances from minor ones?,They are available in pharmacies,They require a specialist doctor's prescription,They can be prescribed by non-specialists and made to measure,They are reimbursed at 100% on the LPPR,c
OIC-328-10-B,Definition,What is the primary objective of a walking aid?,Improving vision,Enhancing hearing,Stabilizing walking,Increasing mobility,c
OIC-328-09-A,Definition,What type of footwear is typically reimbursed at 60% and prescribed by any doctor?,Custom-made Orthopedic Shoes,Standard Therapeutic Footwear,Foot Orthoses,Orthoplasty,b
OIC-328-03-B,Management,Who typically prescribes orthotics?,General practitioner,Physiotherapist,Nurse,Specialist,d
OIC-328-01-A,Evaluation,"After an initial assessment, non-medicinal therapies are prescribed based on a patient's:",only disabilities,participation restrictions and environmental factors,activities limitations only,all of the above,b
OIC-328-11-A,Definition,What is a requirement for prescribing an electric wheelchair?,Any doctor can prescribe it without a trial.,"A simple prescription and a trial certificate are required, along with prior agreement with health insurance.",The patient must provide proof of financial ability to purchase the wheelchair.,The wheelchair is only prescribed by a PRM doctor.,b
OIC-019-05-A,Definition,What type of risk does the Family branch of the General Scheme manage?,Sickness,Occupational Injuries,Loss of Autonomy,Family-related risks,d
OIC-019-12-A,,What is the purpose of a Care Protocol (ALD) in the context of health insurance?,To determine the patient's eligibility for co-payment exemptions,To outline the treatment plan and specialist consultations required for patients with long-term conditions,To provide direct access to specialists and ensure compliance with treatment plans,To exempt patients from co-payments only in emergency situations,b
OIC-019-08-A,Definition,What percentage of the French population is covered by the agricultural scheme within the Mutualité Sociale Agricole (MSA)?,10%,88%,5%,95%,c
OIC-019-04-B,,What is the primary source of funding for social protection in France?,Social security contributions,Fiscal resources such as CSG and exemptions on employer contributions,"Earmarked taxes, including taxes on products and wages",State public contributions,a
OIC-019-10-A,,What is the purpose of the 'ticket modérateur'?,To regulate healthcare consumption by making patients financially responsible,To reimburse patients for all healthcare costs without any out-of-pocket expenses,To cover the fixed contribution for each consultation or procedure,To exempt patients from paying in advance for covered healthcare costs,a
OIC-019-07-B,Definition,What is the main purpose of the National Health Insurance Expenditure Target (ONDAM) in France?,To set a budget for healthcare services,To regulate health insurance expenditure and ensure that it does not exceed a certain amount,To track the number of people insured under the national health system,To determine the revenue forecasts for social security expenditure,b
OIC-019-13-B,Definition,What type of benefits are provided by health insurance schemes?,Only cash benefits,Only benefits in kind,Both cash and benefits in kind,Neither cash nor benefits in kind,c
OIC-019-03-B,Definition,What percentage of social protection expenditure in France accounts for old-age benefits?,43%,33%,35%,28%,a
OIC-019-02-A,Definition,What is the primary purpose of social protection benefits in France?,To provide financial assistance directly to individuals,To offer free or reduced-price access to social services for vulnerable populations,"To address specific risks such as old age, health, and employment",To alleviate poverty through unconditional cash transfers,a
OIC-019-11-A,Definition,Who is the 'preferred doctor' in the coordinated care pathway?,A specialist who has been directly accessible to patients for a specific condition.,The general practitioner or specialist that each insured person or entitled person aged 16 or over has declared as their preferred doctor with their consent.,A hospital doctor who provides regular care and guides patients through the coordinated care pathway.,"A doctor directly accessible for specific conditions, such as a gynecologist or ophthalmologist.",b
OIC-019-06-B,Definition,What is the primary purpose of the Social Security Financing Act (LFSS)?,To set budgetary targets for the State's finances.,To control social and health spending and determine conditions for financial equilibrium in the social security system.,To authorize the collection of revenue for social security expenditures.,To give Parliament complete control over social security revenues.,b
OIC-019-09-A,Definition,What is the main mission of the Caisse Nationale d'Assurance Maladie (CNAM) in the context of health insurance?,To provide financial assistance to insured persons only,To control healthcare expenditure and improve population health,To promote preventive measures such as cancer screening,To manage medical procedures and pricing within regional health agencies,b
OIC-019-01-A,Definition,What is the primary goal of Social Protection?,To provide financial security against social risks,To reduce poverty through solidarity among individuals,To cover specific risks for all individuals without means-testing,To promote individual savings and private insurance,a
OIC-283-02-A,Definition,What defines chronic constipation?,Fewer than 3 bowel movements per week,Exaggerated efforts to push during bowel movements,A combination of fewer than 3 bowel movements per week and exaggerated efforts to push during bowel movements,Passing liquid stools with hard blockage,c
OIC-283-06-B,Etiologies,What is the primary distinction between idiopathic constipation and secondary constipation?,"Idiopathic constipation can be linked to organic causes, while secondary constipation has no known cause.","Secondary constipation involves a slowdown in colonic transit and/or problems with rectal evacuation, whereas idiopathic constipation is due to an unknown mechanism.",The two mechanisms of constipation (transit constipation and distal constipation) can coexist in both idiopathic and secondary constipation.,"Idiopathic constipation is typically characterized by a reduction in the frequency and amplitude of colonic contractions, while secondary constipation involves an organic disease or digestive disorder.",b
OIC-283-01-B,Epidemiology,What age range is most commonly affected by constipation?,0-12 months,5-10 years,1-4 years,10-18 years,c
OIC-283-05-A,Positive diagnosis,What is the primary purpose of the interrogatory process in diagnosing constipation?,To confirm the diagnosis of constipation,To identify contributing factors such as sedentary lifestyle and low-fiber diet,To assess the impact on quality of life and detect symptoms suggesting a secondary cause,To perform a proctological examination to look for local lesions,a
OIC-283-07-A,Management,What is the recommended daily fiber intake for adults to prevent constipation?,15g/day,25g/day,30g/day,40g/day,b
OIC-283-09-B,Management,What is the primary goal of managing chronic constipation in children and adults?,To relieve immediate symptoms,"To break the cycle of hard stools, pain, and retention through prolonged treatment with medicinal agents",To improve maternal nutrition during breastfeeding,To increase water intake and diversify diet,b
