id,mcq_json,rubric,question,option_a,option_b,option_c,option_d,correct_option
OIC-009-04-A,"{""question"": ""According to the principles approach in medical ethics, which of the following principles is derived from the modern philosophy of the seventeenth century and emphasizes individual freedom to decide on personal preferences?"", ""option_a"": ""Beneficence"", ""option_b"": ""Non-maleficence"", ""option_c"": ""Respect for autonomy"", ""option_d"": ""Justice"", ""correct_option"": ""C""}",Definition,"According to the principles approach in medical ethics, which of the following principles is derived from the modern philosophy of the seventeenth century and emphasizes individual freedom to decide on personal preferences?",Beneficence,Non-maleficence,Respect for autonomy,Justice,c
OIC-047-24-B,"{""question"": ""What is the recommended imaging modality for follow-up of a suspected congenital hip dislocation in an infant who is 5 months old?"", ""option_a"": ""Ultrasound"", ""option_b"": ""MRI"", ""option_c"": ""CT scan"", ""option_d"": ""X-ray"", ""correct_option"": ""D""}",,What is the recommended imaging modality for follow-up of a suspected congenital hip dislocation in an infant who is 5 months old?,Ultrasound,MRI,CT scan,X-ray,d
OIC-215-05-A,"{""question"": ""Which of the following clinical findings is most indicative of endocarditis in a patient with purpura?"", ""option_a"": ""Fever and proteinuria"", ""option_b"": ""Fever and heart murmur"", ""option_c"": ""Signs of malnutrition"", ""option_d"": ""Hepatomegaly and splenomegaly"", ""correct_option"": ""B""}",Positive diagnosis,Which of the following clinical findings is most indicative of endocarditis in a patient with purpura?,Fever and proteinuria,Fever and heart murmur,Signs of malnutrition,Hepatomegaly and splenomegaly,b
OIC-107-04-A,"{""question"": ""Which of the following is a common type of abnormal movement that can be observed in typical video cases?"", ""option_a"": ""Tremors that occur only during sleep"", ""option_b"": ""Dystonic movements that are always symmetrical"", ""option_c"": ""Chorea, which involves rapid, irregular, jerky movements"", ""option_d"": ""Myoclonus that is always voluntary and controlled"", ""correct_option"": ""C""}",Multimedia content,Which of the following is a common type of abnormal movement that can be observed in typical video cases?,Tremors that occur only during sleep,Dystonic movements that are always symmetrical,"Chorea, which involves rapid, irregular, jerky movements",Myoclonus that is always voluntary and controlled,c
OIC-267-18-A,"{""question"": ""Which of the following is the correct definition of hypokalaemia?"", ""option_a"": ""A plasma potassium concentration of less than 3.0 mmol/L"", ""option_b"": ""A plasma potassium concentration of less than 3.5 mmol/L"", ""option_c"": ""A plasma potassium concentration of less than 4.0 mmol/L"", ""option_d"": ""A plasma potassium concentration of less than 2.5 mmol/L"", ""correct_option"": ""B""}",Definition,Which of the following is the correct definition of hypokalaemia?,A plasma potassium concentration of less than 3.0 mmol/L,A plasma potassium concentration of less than 3.5 mmol/L,A plasma potassium concentration of less than 4.0 mmol/L,A plasma potassium concentration of less than 2.5 mmol/L,b
OIC-254-06-A,"{""question"": ""Which of the following foods is generally safe to consume for a non-immune pregnant woman to prevent listeriosis and toxoplasmosis?"", ""option_a"": ""Raw shellfish"", ""option_b"": ""Soft cheeses with a bloomy rind like Brie"", ""option_c"": ""Pressed cooked cheeses like Gruy\u00e8re"", ""option_d"": ""Raw eggs"", ""correct_option"": ""C""}",Management,Which of the following foods is generally safe to consume for a non-immune pregnant woman to prevent listeriosis and toxoplasmosis?,Raw shellfish,Soft cheeses with a bloomy rind like Brie,Pressed cooked cheeses like Gruyère,Raw eggs,c
OIC-075-02-A,"{""question"": ""According to the Fagerstr\u00f6m test, which of the following is the most characteristic indicator of tobacco addiction?"", ""option_a"": ""Smoking more than 30 cigarettes a day"", ""option_b"": ""Finding it difficult to refrain from smoking in places where it is prohibited"", ""option_c"": ""Smoking within 5 minutes of waking up"", ""option_d"": ""Smoking when you are so ill that you have to stay in bed most of the day"", ""correct_option"": ""C""}",Definition,"According to the Fagerström test, which of the following is the most characteristic indicator of tobacco addiction?",Smoking more than 30 cigarettes a day,Finding it difficult to refrain from smoking in places where it is prohibited,Smoking within 5 minutes of waking up,Smoking when you are so ill that you have to stay in bed most of the day,c
OIC-101-08-B,"{""question"": ""What is a possible unfavourable outcome of facial paralysis a frigore?"", ""option_a"": ""Complete recovery within 2 months"", ""option_b"": ""Residual synkinetic movements and post-paralytic facial hemi-spasm"", ""option_c"": ""Severe persistent deficit with disabling facial deformity"", ""option_d"": ""Immediate and full reinnervation without any complications"", ""correct_option"": ""B""}",,What is a possible unfavourable outcome of facial paralysis a frigore?,Complete recovery within 2 months,Residual synkinetic movements and post-paralytic facial hemi-spasm,Severe persistent deficit with disabling facial deformity,Immediate and full reinnervation without any complications,b
OIC-082-11-A,"{""question"": ""Which of the following is a characteristic symptom of a migraine aura?"", ""option_a"": ""A bilateral scintillating scotoma that lasts for several hours"", ""option_b"": ""A sudden loss of vision in one eye"", ""option_c"": ""A bilateral scintillating scotoma accompanied by coloured flashes, progressively extending to one visual hemifield"", ""option_d"": ""A constant, dull headache that affects both sides of the head"", ""correct_option"": ""C""}",Positive diagnosis,Which of the following is a characteristic symptom of a migraine aura?,A bilateral scintillating scotoma that lasts for several hours,A sudden loss of vision in one eye,"A bilateral scintillating scotoma accompanied by coloured flashes, progressively extending to one visual hemifield","A constant, dull headache that affects both sides of the head",c
OIC-109-13-A,"{""question"": ""Which of the following is NOT a main complementary examination other than imaging in the presence of a walking or balance disorder?"", ""option_a"": ""Electromyography (EMG)"", ""option_b"": ""Blood gas analysis"", ""option_c"": ""Electrocardiogram (ECG)"", ""option_d"": ""Injection-free brain scan"", ""correct_option"": ""D""}",Complementary examinations,Which of the following is NOT a main complementary examination other than imaging in the presence of a walking or balance disorder?,Electromyography (EMG),Blood gas analysis,Electrocardiogram (ECG),Injection-free brain scan,d
OIC-108-05-A,"{""question"": ""Which of the following is a systematic paraclinical examination that should be conducted when searching for the causes of mental confusion?"", ""option_a"": ""Electroencephalogram (EEG)"", ""option_b"": ""Abdomino-pelvic ultrasound"", ""option_c"": ""Elevation of C-reactive protein (CRP)"", ""option_d"": ""Brain MRI"", ""correct_option"": ""C""}",Positive diagnosis,Which of the following is a systematic paraclinical examination that should be conducted when searching for the causes of mental confusion?,Electroencephalogram (EEG),Abdomino-pelvic ultrasound,Elevation of C-reactive protein (CRP),Brain MRI,c
OIC-191-03-A,"{""question"": ""During the clinical examination of an immunocompromised patient with fever, which of the following is a primary reason for examining the patient's skin and mucosa?"", ""option_a"": ""To detect early signs of infection or malignancy"", ""option_b"": ""To assess the patient's hydration status"", ""option_c"": ""To measure the patient's blood pressure"", ""option_d"": ""To evaluate the patient's respiratory function"", ""correct_option"": ""A""}",Positive diagnosis,"During the clinical examination of an immunocompromised patient with fever, which of the following is a primary reason for examining the patient's skin and mucosa?",To detect early signs of infection or malignancy,To assess the patient's hydration status,To measure the patient's blood pressure,To evaluate the patient's respiratory function,a
OIC-156-12-B,"{""question"": ""What is the first-line antibiotic therapy for methicillin-sensitive Staphylococcus aureus (MSSA) in adults with septic arthritis?"", ""option_a"": ""Cefazolin IV + gentamicin"", ""option_b"": ""Amoxicillin IV + clindamycin"", ""option_c"": ""Oxacillin IV + fluoroquinolone"", ""option_d"": ""Cefazolin IV + clindamycin"", ""correct_option"": ""A""}",Management,What is the first-line antibiotic therapy for methicillin-sensitive Staphylococcus aureus (MSSA) in adults with septic arthritis?,Cefazolin IV + gentamicin,Amoxicillin IV + clindamycin,Oxacillin IV + fluoroquinolone,Cefazolin IV + clindamycin,a
OIC-157-04-A,"{""question"": ""Which of the following is the most common infectious agent causing community-acquired bacteremia in adults?"", ""option_a"": ""Streptococcus pneumoniae"", ""option_b"": ""Neisseria meningitidis"", ""option_c"": ""Staphylococcus aureus"", ""option_d"": ""Escherichia coli"", ""correct_option"": ""D""}",Etiologies,Which of the following is the most common infectious agent causing community-acquired bacteremia in adults?,Streptococcus pneumoniae,Neisseria meningitidis,Staphylococcus aureus,Escherichia coli,d
OIC-233-04-A,"{""question"": ""Which of the following is a characteristic auscultation finding in severe mitral insufficiency?"", ""option_a"": ""A soft, steam-jet murmur, holosystolic if severe, predominant at the mitral focus, radiating into the left axilla."", ""option_b"": ""A raspy, meso-systolic murmur, predominant in the aortic focus, radiating to the carotid arteries."", ""option_c"": ""A protodiastolic rolling, B1 burst if valve is flexible, B2 splitting if PAH."", ""option_d"": ""A protodiastolic murmur, soft, aspirative, aortic focus radiating along the left edge of the sternum."", ""correct_option"": ""A""}",,Which of the following is a characteristic auscultation finding in severe mitral insufficiency?,"A soft, steam-jet murmur, holosystolic if severe, predominant at the mitral focus, radiating into the left axilla.","A raspy, meso-systolic murmur, predominant in the aortic focus, radiating to the carotid arteries.","A protodiastolic rolling, B1 burst if valve is flexible, B2 splitting if PAH.","A protodiastolic murmur, soft, aspirative, aortic focus radiating along the left edge of the sternum.",a
OIC-009-13-A,"{""question"": ""According to the provided educational content, what does the right to voluntary interruption of pregnancy in France primarily illustrate?"", ""option_a"": ""The ethical principle of non-maleficence in medical practice"", ""option_b"": ""A compromise between different moral conceptions of procreation"", ""option_c"": ""The necessity of strict legal regulations to control abortion"", ""option_d"": ""The ethical debate surrounding the value of fetal life"", ""correct_option"": ""B""}",Management,"According to the provided educational content, what does the right to voluntary interruption of pregnancy in France primarily illustrate?",The ethical principle of non-maleficence in medical practice,A compromise between different moral conceptions of procreation,The necessity of strict legal regulations to control abortion,The ethical debate surrounding the value of fetal life,b
OIC-109-12-A,"{""question"": ""Which of the following is the most appropriate imaging examination for a patient presenting with sudden acute symptoms to rule out an acute ischaemic stroke?"", ""option_a"": ""A cerebral MRI with diffusion sequence and analysis of the polygon of Willis"", ""option_b"": ""A CT scan and angioscan of the polygon of Willis"", ""option_c"": ""A cerebral MRI to rule out chronic adult hydrocephalus"", ""option_d"": ""Brain imaging to assess Parkinsonian syndromes"", ""correct_option"": ""A""}",Complementary examinations,Which of the following is the most appropriate imaging examination for a patient presenting with sudden acute symptoms to rule out an acute ischaemic stroke?,A cerebral MRI with diffusion sequence and analysis of the polygon of Willis,A CT scan and angioscan of the polygon of Willis,A cerebral MRI to rule out chronic adult hydrocephalus,Brain imaging to assess Parkinsonian syndromes,a
OIC-364-06-A,"{""question"": ""When managing childhood trauma and suspecting a fracture, what is the most appropriate initial step?"", ""option_a"": ""Immediately performing a detailed physical examination of the entire limb to locate the lesion"", ""option_b"": ""Prescribing a level 1 painkiller and waiting for the pain to subside before any further action"", ""option_c"": ""Evoking the diagnosis of a fracture without excessive manipulation of the limb and prescribing temporary immobilization"", ""option_d"": ""Ordering a full-body scan to identify any potential fractures"", ""correct_option"": ""C""}",,"When managing childhood trauma and suspecting a fracture, what is the most appropriate initial step?",Immediately performing a detailed physical examination of the entire limb to locate the lesion,Prescribing a level 1 painkiller and waiting for the pain to subside before any further action,Evoking the diagnosis of a fracture without excessive manipulation of the limb and prescribing temporary immobilization,Ordering a full-body scan to identify any potential fractures,c
OIC-049-02-A,"{""question"": ""What is the term used to describe the first menstrual period?"", ""option_a"": ""Thelarche"", ""option_b"": ""Adrenarche"", ""option_c"": ""Pubarche"", ""option_d"": ""Menarche"", ""correct_option"": ""D""}",Definition,What is the term used to describe the first menstrual period?,Thelarche,Adrenarche,Pubarche,Menarche,d
OIC-162-28-A,"{""question"": ""What is the recommended treatment for a patient with primary syphilis who is allergic to penicillin?"", ""option_a"": ""A single dose of Benzathine penicillin G IM 2.4 million units"", ""option_b"": ""A 14-day course of doxycycline"", ""option_c"": ""A 7-day course of azithromycin"", ""option_d"": ""A single dose of ceftriaxone IM"", ""correct_option"": ""B""}",,What is the recommended treatment for a patient with primary syphilis who is allergic to penicillin?,A single dose of Benzathine penicillin G IM 2.4 million units,A 14-day course of doxycycline,A 7-day course of azithromycin,A single dose of ceftriaxone IM,b
OIC-082-05-B,"{""question"": ""Which examination in ophthalmology is primarily used to study the sensitivity to light within the visual field and is particularly useful for diagnosing and monitoring chronic glaucoma?"", ""option_a"": ""Electroretinogram (ERG)"", ""option_b"": ""Visual evoked potentials (VEPs)"", ""option_c"": ""Visual field (perimetry)"", ""option_d"": ""Fundus angiography"", ""correct_option"": ""C""}",,Which examination in ophthalmology is primarily used to study the sensitivity to light within the visual field and is particularly useful for diagnosing and monitoring chronic glaucoma?,Electroretinogram (ERG),Visual evoked potentials (VEPs),Visual field (perimetry),Fundus angiography,c
OIC-187-08-B,"{""question"": ""Which of the following is primarily responsible for the development of atopic dermatitis?"", ""option_a"": ""Exposure to environmental pollutants"", ""option_b"": ""Genetic factors related to the immune system"", ""option_c"": ""Consumption of processed foods"", ""option_d"": ""Exposure to certain types of bacteria"", ""correct_option"": ""B""}",,Which of the following is primarily responsible for the development of atopic dermatitis?,Exposure to environmental pollutants,Genetic factors related to the immune system,Consumption of processed foods,Exposure to certain types of bacteria,b
OIC-006-04-B,"{""question"": ""What is a multi-professional protocol primarily designed to achieve?"", ""option_a"": ""To replace the need for individual professional judgment in patient care"", ""option_b"": ""To standardize the management of acute or chronic illnesses across different care structures"", ""option_c"": ""To ensure that all patients receive the same treatment regardless of their specific needs"", ""option_d"": ""To facilitate the transfer of tasks between different healthcare professionals"", ""correct_option"": ""D""}",,What is a multi-professional protocol primarily designed to achieve?,To replace the need for individual professional judgment in patient care,To standardize the management of acute or chronic illnesses across different care structures,To ensure that all patients receive the same treatment regardless of their specific needs,To facilitate the transfer of tasks between different healthcare professionals,d
OIC-107-05-B,"{""question"": ""Which of the following is a primary clinical sign of Huntington's disease?"", ""option_a"": ""Visual impairment"", ""option_b"": ""Chorea"", ""option_c"": ""Respiratory failure"", ""option_d"": ""Cardiovascular disease"", ""correct_option"": ""B""}",Positive diagnosis,Which of the following is a primary clinical sign of Huntington's disease?,Visual impairment,Chorea,Respiratory failure,Cardiovascular disease,b
OIC-283-04-B,"{""question"": ""Which of the following is NOT a recommended situation for performing a colonoscopy in a chronic constipated person?"", ""option_a"": ""If the symptoms appear or worsen after the age of 50"", ""option_b"": ""In the event of warning signs such as rectal discharge or a change in general condition"", ""option_c"": ""As part of systematic screening for colon cancer in the general population with a first-degree family history of colon cancer"", ""option_d"": ""If the patient has been constipated for less than a month"", ""correct_option"": ""D""}",Complementary examinations,Which of the following is NOT a recommended situation for performing a colonoscopy in a chronic constipated person?,If the symptoms appear or worsen after the age of 50,In the event of warning signs such as rectal discharge or a change in general condition,As part of systematic screening for colon cancer in the general population with a first-degree family history of colon cancer,If the patient has been constipated for less than a month,d
OIC-351-11-A,"{""question"": ""Which of the following is the primary goal when using pharmacological treatments for acute delirium and agitation?"", ""option_a"": ""To sedate the patient completely to prevent any movement."", ""option_b"": ""To involve the patient in choosing the treatment and route of administration, aiming to calm agitation without excessive sedation."", ""option_c"": ""To use a combination of multiple drugs to ensure rapid sedation."", ""option_d"": ""To administer the highest possible dose to ensure immediate effectiveness."", ""correct_option"": ""B""}",Management,Which of the following is the primary goal when using pharmacological treatments for acute delirium and agitation?,To sedate the patient completely to prevent any movement.,"To involve the patient in choosing the treatment and route of administration, aiming to calm agitation without excessive sedation.",To use a combination of multiple drugs to ensure rapid sedation.,To administer the highest possible dose to ensure immediate effectiveness.,b
OIC-188-14-A,"{""question"": ""Which of the following occupations is most commonly associated with occupational asthma?"", ""option_a"": ""Office workers"", ""option_b"": ""Farmers"", ""option_c"": ""Bakers"", ""option_d"": ""Software developers"", ""correct_option"": ""C""}",Etiologies,Which of the following occupations is most commonly associated with occupational asthma?,Office workers,Farmers,Bakers,Software developers,c
OIC-075-06-A,"{""question"": ""What is the most significant risk factor for developing cancer due to tobacco use?"", ""option_a"": ""The age at which the first cigarette is smoked"", ""option_b"": ""The frequency of smoking per day"", ""option_c"": ""The duration of tobacco intoxication"", ""option_d"": ""The percentage of people who smoke tobacco"", ""correct_option"": ""C""}",Epidemiology,What is the most significant risk factor for developing cancer due to tobacco use?,The age at which the first cigarette is smoked,The frequency of smoking per day,The duration of tobacco intoxication,The percentage of people who smoke tobacco,c
OIC-050-04-A,"{""question"": ""What is the most common cause of orchiepididymitis in males aged 16 to 35?"", ""option_a"": ""Urogenital infections primarily caused by enterobacteria"", ""option_b"": ""Benign prostatic hypertrophy"", ""option_c"": ""Sexually transmitted infections such as Chlamydia trachomatis and gonococcus"", ""option_d"": ""Chronic prostatitis"", ""correct_option"": ""C""}",Positive diagnosis,What is the most common cause of orchiepididymitis in males aged 16 to 35?,Urogenital infections primarily caused by enterobacteria,Benign prostatic hypertrophy,Sexually transmitted infections such as Chlamydia trachomatis and gonococcus,Chronic prostatitis,c
OIC-187-03-A,"{""question"": ""What is the primary characteristic of superficial urticaria?"", ""option_a"": ""It is always accompanied by deep urticaria."", ""option_b"": ""It presents as a firm, non-itchy, pinkish-white oedema."", ""option_c"": ""The primary lesion is an edematous papule with a clear border and sometimes a lighter centre."", ""option_d"": ""It primarily affects the internal organs."", ""correct_option"": ""C""}",Positive diagnosis,What is the primary characteristic of superficial urticaria?,It is always accompanied by deep urticaria.,"It presents as a firm, non-itchy, pinkish-white oedema.",The primary lesion is an edematous papule with a clear border and sometimes a lighter centre.,It primarily affects the internal organs.,c
OIC-047-30-B,"{""question"": ""Which of the following is the primary imaging technique used to diagnose malformative scoliosis in the lumbar spine?"", ""option_a"": ""Ultrasound"", ""option_b"": ""Magnetic Resonance Imaging (MRI)"", ""option_c"": ""Computed Tomography (CT) Scan"", ""option_d"": ""Radiography"", ""correct_option"": ""D""}",Multimedia content,Which of the following is the primary imaging technique used to diagnose malformative scoliosis in the lumbar spine?,Ultrasound,Magnetic Resonance Imaging (MRI),Computed Tomography (CT) Scan,Radiography,d
OIC-076-16-A,"{""question"": ""Which of the following is a core principle of motivational interviewing?"", ""option_a"": ""Directly confronting the patient's denial about their addiction"", ""option_b"": ""Providing detailed lectures on the dangers of addiction"", ""option_c"": ""Encouraging the patient to explore and resolve ambivalence about change"", ""option_d"": ""Imposing external motivation to encourage behavior change"", ""correct_option"": ""C""}",Management,Which of the following is a core principle of motivational interviewing?,Directly confronting the patient's denial about their addiction,Providing detailed lectures on the dangers of addiction,Encouraging the patient to explore and resolve ambivalence about change,Imposing external motivation to encourage behavior change,c
OIC-267-31-A,"{""question"": ""Which of the following is a neurological symptom specifically associated with severe hypernatremia?"", ""option_a"": ""Hypertension"", ""option_b"": ""Somnolence"", ""option_c"": ""Respiratory distress"", ""option_d"": ""Peripheral edema"", ""correct_option"": ""B""}",Identification of the emergency,Which of the following is a neurological symptom specifically associated with severe hypernatremia?,Hypertension,Somnolence,Respiratory distress,Peripheral edema,b
