id,mcq_json,rubric,question,option_a,option_b,option_c,option_d,correct_option
OIC-265-01-A,"{""question"": ""What is the primary location where urinary stones, also known as urinary calculi, typically form?"", ""option_a"": ""Urinary bladder"", ""option_b"": ""Urethra"", ""option_c"": ""Kidneys"", ""option_d"": ""Ureters"", ""correct_option"": ""C""}",Definition,"What is the primary location where urinary stones, also known as urinary calculi, typically form?",Urinary bladder,Urethra,Kidneys,Ureters,c
OIC-336-14-A,"{""question"": ""In the initial management of a patient with hypoglycaemia, which of the following is the correct first-line treatment?"", ""option_a"": ""Administering high-dose insulin IV"", ""option_b"": ""Setting up an infusion with physiological serum"", ""option_c"": ""Administering flumazenil IV"", ""option_d"": ""Initiating high-flow oxygen therapy"", ""correct_option"": ""b""}",Management,"In the initial management of a patient with hypoglycaemia, which of the following is the correct first-line treatment?",Administering high-dose insulin IV,Setting up an infusion with physiological serum,Administering flumazenil IV,Initiating high-flow oxygen therapy,b
OIC-208-11-B,"{""question"": ""What is the preferred method of oxygen delivery for long-term oxygen therapy in stable obstructive CKD patients?"", ""option_a"": ""Liquid oxygen for high flow rates"", ""option_b"": ""Gaseous oxygen by extractor"", ""option_c"": ""Gaseous oxygen in the form of cylinders for ambulation"", ""option_d"": ""Nasal cannula with low flow rates"", ""correct_option"": ""c""}",,What is the preferred method of oxygen delivery for long-term oxygen therapy in stable obstructive CKD patients?,Liquid oxygen for high flow rates,Gaseous oxygen by extractor,Gaseous oxygen in the form of cylinders for ambulation,Nasal cannula with low flow rates,c
OIC-020-10-B,"{""question"": ""In probability theory, what does a random variable represent?"", ""option_a"": ""A constant value that does not change regardless of outcomes."", ""option_b"": ""A function that assigns a number to each possible outcome of a random phenomenon."", ""option_c"": ""The exact outcome of a random event that will always occur."", ""option_d"": ""A specific measurement tool used to record outcomes of an experiment."", ""correct_option"": ""B""}",Definition,"In probability theory, what does a random variable represent?",A constant value that does not change regardless of outcomes.,A function that assigns a number to each possible outcome of a random phenomenon.,The exact outcome of a random event that will always occur.,A specific measurement tool used to record outcomes of an experiment.,b
OIC-328-06-B,"{""question"": ""Which orthotic device is primarily used to improve function in cases of muscular weakness?"", ""option_a"": ""Series or large apparatus for immobilisation"", ""option_b"": ""Dynamic orthosis for improving amplitude and function"", ""option_c"": ""Lumbar belt for correcting deformity"", ""option_d"": ""Cervical collar for stabilising the neck"", ""correct_option"": ""B""}",Management of costs,Which orthotic device is primarily used to improve function in cases of muscular weakness?,Series or large apparatus for immobilisation,Dynamic orthosis for improving amplitude and function,Lumbar belt for correcting deformity,Cervical collar for stabilising the neck,b
OIC-086-12-A,"{""question"": ""A patient presents with acute ptosis and is suspected to have an intracranial retrocarotid aneurysm. Which of the following additional signs would most strongly support this diagnosis?"", ""option_a"": ""Claude Bernard-Horner syndrome"", ""option_b"": ""Mydriasis and headaches suggestive of subarachnoid haemorrhage"", ""option_c"": ""Enophthalmos and reduced palpebral slit without true ptosis"", ""option_d"": ""Binocular diplopia and strabismus"", ""correct_option"": ""b""}",Identification of the emergency,A patient presents with acute ptosis and is suspected to have an intracranial retrocarotid aneurysm. Which of the following additional signs would most strongly support this diagnosis?,Claude Bernard-Horner syndrome,Mydriasis and headaches suggestive of subarachnoid haemorrhage,Enophthalmos and reduced palpebral slit without true ptosis,Binocular diplopia and strabismus,b
OIC-145-10-A,"{""question"": ""What is the correct sequence of events in the compulsory reporting process for notifiable diseases in France?"", ""option_a"": ""Notification is sent immediately after diagnosis, followed by anonymized data transmission to the ARS."", ""option_b"": ""Reporting is done by the medical inspector, followed by notification for Pandemic Influenza outbreaks and implementation of control measures."", ""option_c"": ""Diagnosis is made public, then reporting and notification occur simultaneously, with immediate implementation of prevention measures."", ""option_d"": ""Reporting is done by the practitioner or biologist, except for Pandemic Influenza which requires notification. This includes transmitting patient identity and clinical data to the ARS for urgent prevention measures."", ""correct_option"": ""option_d""}",Epidemiology,What is the correct sequence of events in the compulsory reporting process for notifiable diseases in France?,"Notification is sent immediately after diagnosis, followed by anonymized data transmission to the ARS.","Reporting is done by the medical inspector, followed by notification for Pandemic Influenza outbreaks and implementation of control measures.","Diagnosis is made public, then reporting and notification occur simultaneously, with immediate implementation of prevention measures.","Reporting is done by the practitioner or biologist, except for Pandemic Influenza which requires notification. This includes transmitting patient identity and clinical data to the ARS for urgent prevention measures.",option_d
OIC-027-37-A,"{""question"": ""What is the primary complication of chronic and heavy alcohol consumption during pregnancy, which is characterized by moderate intrauterine growth retardation and distinct facial dysmorphia, and may include neurological, cardiac, skeletal, and facial malformations, as well as cognitive and behavioral problems?"", ""option_a"": ""Neonatal Abstinence Syndrome (NAS)"", ""option_b"": ""Foetal Alcohol Syndrome (FAS)"", ""option_c"": ""Wernicke-Korsakoff Syndrome"", ""option_d"": ""Ethanol-Induced Teratogenesis"", ""correct_option"": ""B""}",Diagnosis,"What is the primary complication of chronic and heavy alcohol consumption during pregnancy, which is characterized by moderate intrauterine growth retardation and distinct facial dysmorphia, and may include neurological, cardiac, skeletal, and facial malformations, as well as cognitive and behavioral problems?",Neonatal Abstinence Syndrome (NAS),Foetal Alcohol Syndrome (FAS),Wernicke-Korsakoff Syndrome,Ethanol-Induced Teratogenesis,b
OIC-076-18-B,"{""question"": ""What is the initial treatment for a patient experiencing delirium tremens or convulsive seizure due to alcohol withdrawal?"", ""option_a"": ""Administration of high-dose oral vitamin B1 supplementation"", ""option_b"": ""Intravenous rehydration and correction of hydroelectrolytic disorders"", ""option_c"": ""Systematic high-dose diazepam, tapering off over 7 to 10 days"", ""option_d"": ""Intravenous administration of high-dose half-life benzodiazepines"", ""correct_option"": ""d""}",Management,What is the initial treatment for a patient experiencing delirium tremens or convulsive seizure due to alcohol withdrawal?,Administration of high-dose oral vitamin B1 supplementation,Intravenous rehydration and correction of hydroelectrolytic disorders,"Systematic high-dose diazepam, tapering off over 7 to 10 days",Intravenous administration of high-dose half-life benzodiazepines,d
OIC-070-06-A,"{""question"": ""Which of the following is NOT commonly observed as a behavioral and psychological symptom of dementia (BPSD) in elderly patients?"", ""option_a"": ""Delusions of persecution"", ""option_b"": ""Agitation"", ""option_c"": ""Inversion of the nycthemeral rhythm"", ""option_d"": ""Improved cognitive function"", ""correct_option"": ""D""}",Positive diagnosis,Which of the following is NOT commonly observed as a behavioral and psychological symptom of dementia (BPSD) in elderly patients?,Delusions of persecution,Agitation,Inversion of the nycthemeral rhythm,Improved cognitive function,d
OIC-261-18-B,"{""question"": ""What is the initial treatment approach for primary Nephrogenic Diabetes Insipidus (NGP)?"", ""option_a"": ""High dose corticosteroids"", ""option_b"": ""Immunosuppressants or biotherapies"", ""option_c"": ""Specific treatment with plasma exchange"", ""option_d"": ""Symptomatic and nephroprotective treatment"", ""correct_option"": ""d""}",Management,What is the initial treatment approach for primary Nephrogenic Diabetes Insipidus (NGP)?,High dose corticosteroids,Immunosuppressants or biotherapies,Specific treatment with plasma exchange,Symptomatic and nephroprotective treatment,d
