id,rubric,question,option_a,option_b,option_c,option_d,correct_option,content_gpt,originality,readability,starts_with_negation,is_question,relevance,ambiguity,gpt_answer,disclosure,difficulty
OIC-328-06-B,Management of costs,Which of the following is the primary objective of a cervical orthosis?,To improve lower limb mobility,To stabilize and immobilize the cervical spine,To correct deformities in the trunk,To relieve pain in the lumbar region,B,"**Item_parent:** Non-drug therapies and medical devices  
**Title:** Know the main orthoses  
**Description:** Description and indications of the different orthoses  
**Rubric:** Management of costs  

**Orthotic Categories**

- **Immobilisation Orthoses**  
  - **Objective:** Immobilise a joint  
  - **Manufacturing:** Series or large apparatus  
  - **Example of Indication:** Trauma, post-surgery, brachial plexus (elbow to body), trauma to the limbs  

- **Stabilisation Orthoses**  
  - **Objective:** Stabilising a joint, improving a function  
  - **Manufacturing:** Series or major equipment  
  - **Example of Indication:** Sprain, joint pathology, pain, muscular weakness (SDD-074), knee instability (SDD-075)  

- **Posture Orthoses**  
  - **Static**  
    - **Objective:** Improving an area of mobility, combating stiffness  
    - **Manufacturing:** Series or major equipment  
    - **Example of Indication:** Fracture, neuropathy, pain, tendinopathy, post-surgery  
  - **Dynamic**  
    - **Objective:** Improve amplitude, function  
    - **Manufacturing:** Major equipment  
    - **Example of Indication:** Rheumatoid pathology, neuropathy, paralysis, tendon injury, post-surgery  

- **Function Orthoses**  
  - **Objective:** Improve function  
  - **Manufacturing:** Major equipment  
  - **Example of Indication:** Brachial plexus (helical orthosis), foot drop (over-pedal orthosis)  

- **Discharge or Semi-discharge Orthoses**  
  - **Objective:** Download lower limb  
  - **Manufacturing:** Series or large fitting  
  - **Example of Indication:** Perforating injury, fracture, neuroarthropathy, infection, tumour  

- **Trunk Orthoses**  
  - **Examples:** Lumbar or dorsolumbar corset, whalebone ticking, lumbar belt  
  - **Objective:** Correct deformity, immobilise, relieve pain  
  - **Manufacturing:** Series or large apparatus  
  - **Example of Indication:** Spinal fracture, spinal trauma (SDD-175), spinal deformity (SDD-065), scoliosis, degenerative pathology, neuro, rheumato, spinal pain (SDD-072), follow-up consultation for a patient with acute or chronic low back pain (SDD-277)  

- **Cervical Orthoses**  
  - **Examples:** Neck brace, cervical collar  
  - **Objective:** Stabilise, immobilise, relieve pain  
  - **Manufacturing:** Series or major equipment  
  - **Example of Indication:** Sprain, degenerative pathology, neuro, rheumatology, spinal pain (SDD-072)  

The Orthèse cruro-pédieuse is used for lower limb support.",1.0,11.706666666666667,False,True,0.6978925466537476,0.6843748291333517,b,False,5
OIC-328-12-B,Definition,Which of the following is NOT a recognized therapeutic orientation for spa treatments in France according to the French social security system?,Rheumatology and sequelae of osteo-articular trauma (RH),Cardio-Arterial Diseases (MCA),Astrology-based treatments (AB),Phlebology (PHL),C,"**Item_parent:** Non-drug therapies and medical devices  
**Description:** Definition of the different types of spa treatment and how they work  
**Rubric:** Definition  

Every year, almost 600,000 patients undergo a spa treatment in France.

== Definitions of a Spa Treatment ==  
All therapies applied to a patient during their stay in a spa, including crenotherapy, rest, a change of scenery, climate, and possibly non-thermal treatments (functional rehabilitation, therapeutic education). Do not confuse thermal medicine with hydrotherapy (external use of any water, regardless of its physical or chemical composition) or thalassotherapy (use of seawater without systematic medical supervision; neither recognized nor reimbursed by Health Insurance) or Physical and Rehabilitation Medicine.

== Waters Used in Thermal Medicine ==  
They are classified according to their temperature (thermality) and their chemical composition (minerality). The ""thermality"" separates ""cold"" waters (8 to 15°C, mainly for diuresis cures), ""mesothermal"" waters (25 to 34°C, for prolonged baths), and ""hyperthermal"" waters (inhalation, study, shower, bath). The ""mineralization"" (presence of a predominant ion) is constant for each source and enables mineral waters to be classified as:

- **Sulphur:** H2S, especially respiratory indications: sodic of the ""Pyrenean"" type or calcic
- **Sulphate:** Urinary and metabolic diseases, especially calcium and magnesium
- **Sodic Chlorides:** Rich in sodium
- **Gas Carbonates:** Sodium or calcium
- **With a Rare Element:** Arsenic, iron, copper, selenium
- **Low Mineral Content:** Trace metals

Note: Mineral waters are unstable, losing their characteristics after a few hours, which is why it is necessary to take the water from the source (""griffon"") and to carry out the treatment on site. Other thermal agents include thermal plankton, thermal gases (CO2, H2S), and mud (peloids).

== Thermal Techniques with Three Main Types of Cures ==  

1. **Internal Hydrotherapy:** Based on drinking cures (taking 100 to 300 ml/day of thermal water) used in all resorts. Diuresis cures (up to 3 liters per day) are used for digestive, urinary, or metabolic disorders.
2. **Contact Cures:** Application of the thermal agent in contact with the skin or mucous membranes. For respiratory ailments: inhalations, aerosols, balneotherapy, nasal baths, sinus cleansing, etc.
3. **External Hydrotherapy:** Uses the physical characteristics of water: baths (in a pool or bathtub, hot or warm), showers (local, regional, or general, of varying temperature, pressure, and duration) for sedative or analgesic purposes, hand or foot baths.

Other thermal techniques include functional re-education, treatments not specific to thermal medicine (physiotherapy, postural drainage, and respiratory re-education), and health education, for which thermal cures are an ideal place.

== Spa Resorts in France ==  
Around a hundred spa resorts in France: firstly in Occitanie (200,000 spa visitors/year), then in Nouvelle Aquitaine (150,000 spa visitors/year) and Auvergne-Rhône-Alpes (130,000 spa visitors/year). The three main resorts are Balaruc (RH, PHL), Dax (RH, PHL), and Gréoux (RH, VR).

== Indications for Spa Treatment ==  
Chronic pathologies, incompletely improved. The majority of cures are for rheumatology (3/4), followed by the respiratory tract (1/10) and phlebology (1/20). One of the characteristics is the specialization in the treatment of certain conditions (due to the principle of the specificity of mineral waters). There are 12 therapeutic orientations for spas recognized by the French social security system, and spas may have two (exceptionally three) therapeutic orientations.

- **RH:** Rheumatology and sequelae of osteo-articular trauma
- **Respiratory Tract Diseases:** ENT or pneumology
- **MCA:** Cardio-Arterial Diseases
- **AU:** Diseases of the Urinary System and Metabolic Diseases
- **AD:** Diseases of the Digestive System and Metabolic Diseases
- **PHL:** Phlebology
- **GYN:** Gynaecology
- **DER:** Dermatology
- **AMB:** Oral and lingual mucosal diseases
- **NEU:** Neurology
- **PSY:** Psychosomatic disorders
- **TDE:** Troubles du Développement de l'Enfant (Anomaly of psychomotor development)

Since the early 2000s, under the aegis of the AFRETH (Association Française de REcherche THermale - French Association for Thermal Research), several high-quality clinical trials have been carried out, demonstrating the clinical effectiveness of thermal medicine in its main indications. The most validated indications are rheumatology (osteoarthritis, chronic lumbago, inflammatory rheumatism outside flare-ups), followed by arteritis and psychiatry (generalized anxiety disorders).

== Undesirable Effects of Spa Treatments ==  
Very rare and often ""non-serious"": asthenia after a few days of treatment (""spa crisis""), complications of treatment techniques, etc.

== Contraindications to Spa Treatments ==  
Obvious non-indications such as infections, cancers, relapsing illnesses, recent cardiovascular diseases, immunodepression, etc.

== How to Prescribe a Spa Treatment ==  
The cure is prescribed by the attending physician on a special form to be sent to the Caisse d'AM with its two sections: prise en charge (completed by the prescribing physician) and déclaration de ressources (completed by the insured person). The doctor must specify (using the key letter) the main indication (and any secondary indications). A course of treatment lasts three weeks. Reimbursed at 65% by SS (100% reimbursed if ALD, occupational disease, or work accident). Complementary medical practices (pharyngeal showers, Proetz displacement method in ENT, thermal gas injections for arteriopathy) are reimbursed at 70%.

The medical surveillance package includes three medical consultations: on arrival, in the middle, and at the end of the cure. Only one cure per year is reimbursed by Social Security. You can renew your spa treatment every year.",0.6,15.51727272727273,False,True,0.7371566295623779,0.521272341410319,c,True,5
OIC-328-05-A,Definition,Which of the following best describes the primary objectives of orthotic treatment?,To provide immediate surgical intervention and post-operative care.,"To offer downtime, rest, stabilization, correction, and substitution for limb deficiencies.",To administer pharmaceutical drugs for pain management and inflammation reduction.,To replace the need for physical therapy and rehabilitation exercises.,B,"**Item Parent:** Non-drug therapies and medical devices  
**Description:** Different types and indications  
**Rubric:** Definition  

**Orthosis:** A device that supplements a limb or segment of a limb that is deficient or the spine. It can be small or large equipment.

**Objectives of Orthotic Treatment** (different from orthopedic treatment after trauma or surgery):

- Downtime
- Rest
- Stabilization
- Correction
- Substitution",0.8,12.690000000000001,False,True,0.7098068594932556,0.6684277852376302,b,False,4
OIC-328-08-A,Definition,Which of the following best describes the components of a limb prosthesis?,"A prosthesis consists of a sleeve, a socket, and an end effector, with no intermediate effectors involved.","A prosthesis includes a sleeve, a socket, intermediate effectors (articular and non-articular), and an end effector (such as a foot or hand), along with an aesthetic trim.","A prosthesis is made up of a socket only, which directly connects to the patient's residual limb without any additional components.","A prosthesis includes a sleeve, an end effector, and aesthetic trim, but does not require a socket or intermediate effectors.",B,"**Item Parent:** Non-drug therapies and medical devices  
**Title:** General Information on Prostheses  
**Description:** Description of the general components of a prosthesis  
**Rubric:** Definition  

**Limb Prosthesis:** A device that replaces a missing limb or limb segment.  
*Note: Residual limb refers to the remaining limb segment.*

**Components:**  
""The image shows a femoral prosthesis.""  

- Sleeve: Slipped over the residual limb  
- Socket: Accommodates residual limb and sleeve  
- Intermediate Effectors:  
  - Connecting Pieces:  
    - Articular  
    - Non-articular  
- End Effector:  
  - Foot, pestle, etc.  
  - Hand, hook, etc.  
- Aesthetic Trim  

**Further Information:** General Rules for Rehabilitation of Amputees:  

- Early fitting of orthopedic devices as part of rehabilitation in a specialized center  
- Choice of equipment according to the patient's life plan  
- Significant and early interactions with the patient's environment  
- In the lower limb: Fittings for functional purposes, rarely for aesthetic purposes  
- For the upper limb: Devices for functional and aesthetic purposes  ",1.0,8.756666666666668,False,True,0.8081510066986084,0.7710245251655579,b,False,2
OIC-328-02-A,Definition,What is the primary purpose of a medical device according to the European regulation (EU regulation 2017/745)?,"To act through pharmacological, immunological, or metabolic means.",To be used for non-medical purposes in humans.,"To obtain its principal intended action without pharmacological, immunological, or metabolic means.",To regulate prices and reimbursements by social organizations.,C,"**Item Parent:** Non-drug therapies and medical devices  
**Description:** None  
**Rubric:** Definition  

**Medical Device:** Any instrument, apparatus, equipment, material, product (with the exception of products of human origin) including accessories and software, used alone or in combination, for medical purposes in humans, and whose principal intended action is not obtained by pharmacological, immunological, or metabolic means (ANSM).

A new European regulation (EU regulation 2017/745) dating from May 2021 aims to standardize the marketing and commissioning of medical devices within the European Union (without regulating prices and reimbursements by social organizations).",0.5555555555555556,15.334117647058822,False,True,0.8046112060546875,0.6783172488212585,c,False,5
OIC-328-07-B,,"When prescribing orthoses, which of the following factors is most important to consider for ensuring proper fit and function?",The color of the orthosis to match the patient's preference,The patient's shoe size to ensure the orthosis fits inside their footwear,The patient's body measurements and specific needs to tailor the orthosis correctly,The brand of the orthosis for its market popularity,C,"**Item_parent:** Non-drug therapies and medical devices

**Title:** Know how to prescribe orthoses

**Description:** General information on prescribing small and large orthoses

- See ""Small and large equipment""",1.0,12.935789473684213,False,True,0.7021530866622925,0.7764752308527628,c,False,5
OIC-328-04-B,Definition,Which of the following statements accurately describes the difference between minor and major medical appliances?,"Minor appliances are custom-made devices requiring a specialist's prescription, while major appliances are standard devices available on simple prescription.","Minor appliances compensate for deficient organic functions and are made from standard materials, while major appliances include sophisticated technologies and require a specialist's prescription.","Major appliances are available in pharmacies and can be prescribed by non-specialists, while minor appliances are registered on the LPPR and reimbursed at 60%.","Minor appliances include home automation devices, while major appliances are standard devices like compression stockings.",B,"**Item_parent:** Non-drug therapies and medical devices  
**Description:** Definition of minor and major appliances and some examples  
**Rubric:** Definition  

**Petit appareillage**: Medical device, usually standard, which compensates for a deficient organic function

- Examples include compression stockings, therapeutic footwear, lumbar belt, etc.
- Made from standard or low-temperature thermoplastic
- Available on simple prescription and can be prescribed by non-specialists
- Included on the LPPR, with reimbursement at 60%
- Available in pharmacies, through pedorthists or ortho-prosthetists

**Setting up and monitoring an immobilisation device (SDD-243)**

**Setting up and monitoring a mechanical restraint (SDD-244)**

**Prescription of a simple fitting (SDD-245)**

**Major equipment**: Medical devices such as orthoses or prostheses, including sophisticated technologies like home automation

- Examples include myoelectric forearm prosthesis, custom articulated crural-pedal orthosis, speech synthesis device, etc.
- Made to measure
- Requires prescription on a specific form with prior agreement
- Initial prescription by a specialist doctor, with possible renewal by a general practitioner
- Registered on the LPPR, reimbursed at 100% if ALD
- Designed by orthotists or pedorthists",1.0,17.793333333333333,False,True,0.7572224140167236,0.7946132818857828,b,False,3
OIC-328-10-B,Definition,Which of the following technical aids is primarily used for improving communication in individuals with neurological pathology?,Electric wheelchair,Voice synthesis,Bath board,Verticalizer,B,"**Item_parent:** Non-drug therapies and medical devices  
**Description:** Objective definition, type of manufacture, and indications of the main technical aids (walking, moving, gripping, etc.).  
**Rubric:** Definition  

**Technical aids:** Any device (instrument, system...) not applied to the body that reduces activity limitations and contributes to improving the autonomy, safety, and well-being of disabled persons. This includes addressing progressive loss of autonomy and disability situations.

**Categories of Assistance:**

- **Walking aids:**  
  - Example: Canes  
  - Objective: Stabilizing walking  
  - Indications: Osteoarthritis of the lower legs, paralysis, onset of difficulty walking, balance disorders

- **Moving aids:**  
  - Example: Electric wheelchair  
  - Objective: Getting around  
  - Indication: 4 limb neuropathy

- **Standing aids:**  
  - Example: Verticalizer  
  - Objective: Standing  
  - Indications: Paraplegia, tetraplegia

- **Handling and gripping aids:**  
  - Examples: Bath board, transfer handlebars, personal lift  
  - Objectives: Hygiene, transfer assistance  
  - Indications: Neurological, rheumatological, and traumatic conditions

- **Help with decubitus and sitting position:**  
  - Examples: Medical bed, anti-bedsore mattress  
  - Objectives: Autonomy in bed, pressure sore prevention  
  - Indications: Neurological pathology, rheumatology, traumatology, pressure sores  
  - Note: Management of a patient in prolonged decubitus

- **Environmental control:**  
  - Example: Home automation  
  - Objective: Home automation  
  - Indication: Tetraplegia

- **Communication aids:**  
  - Example: Voice synthesis  
  - Objective: Communicating  
  - Indication: Neurological pathology

- **Hearing aids:**  
  - Example: Hearing aids  
  - Objective: Hearing  
  - Indications: Decrease in hearing/deafness  
  - Note: Prescription and interpretation of an audiogram

- **Vision aids:**  
  - Example: Braille  
  - Objective: Seeing  
  - Indication: Blindness

- **Ventilatory equipment:**  
  - Example: Respirator  
  - Objective: Breathing  
  - Indications: Myopathy, tetraplegia, sleep apnea  
  - Note: Snoring

- **Vesico-sphincter apparatus:**  
  - Example: Urinary catheters  
  - Objective: Bladder emptying  
  - Indication: Neurological bladder",1.0,19.49882352941177,False,True,0.6953703165054321,0.45805928111076355,b,False,5
OIC-328-09-A,Definition,Which of the following statements accurately describes the characteristics and indications for orthopedic footwear?,"Orthopedic footwear, including custom-made shoes, is only reimbursed at 60% and is indicated for cosmetic foot concerns.","Standard therapeutic footwear, such as CHUT and CHUP, is reimbursed at 60% and prescribed for temporary use by any doctor for conditions like edema.",Foot orthoses are custom-made devices reimbursed at 100% and are used to correct limping and sensory deficits.,"Orthoplasty footwear is designed to protect the toes and is reimbursed at 60%, performed by a chiropodist or ortho-prosthetist for conditions like trophic disorders.",D,"**Item Parent:** Non-drug therapies and medical devices  
**Description:** Definition of orthopedic footwear and associated components (foot orthoses, etc.)  
**Rubric:** Definition  

**Orthopedic Footwear:**

- **Custom-made Orthopedic Shoes:**  
  - Major orthopedic appliances  
  - Reimbursed from 60 to 100%, first pair prescribed by a specialist  
  - Indicated for neurological pathology, volumetric disorder, instability, inequality of length, limping, sensory and/or motor neurological deficit (SDD-121), fall in the elderly (SDD-027)  
  - Carried out by a chiropodist or ortho-prosthetist  

- **Standard Therapeutic Footwear:**  
  - CHUT (temporary use) or CHUP (permanent use)  
  - Reimbursed at 60%, prescribed by any doctor  
  - Indicated for trophic disorders, edema  

- **Foot Orthoses:**  
  - Reimbursed at 60%  
  - Performed by a chiropodist or ortho-prosthetist  

- **Orthoplasty:**  
  - Protects the toes  
  - The image of a shoe is used to illustrate the concept of series discharge shoes.",1.0,19.37,False,True,0.8069020509719849,0.7452340126037598,b,False,3
OIC-328-03-B,Management,Which of the following statements accurately describes the reimbursement process for medical devices in non-drug therapies?,Medical devices are always fully reimbursed at 100% regardless of the setting (hospital or community).,"In hospitals, medical devices are covered by the hospital stay charge (GHS) unless they are on the 'extra' list, in which case they are covered by the LPPR.","In towns and cities, medical devices are only reimbursed if prescribed by a physiotherapist or a nurse.",The financing of medical devices is not linked to the associated procedure and is always covered by the LPPR.,B,"**Item Parent:** Non-drug therapies and medical devices  
**Title:** Knowing the Regulatory and Medico-Economic Aspects of Non-Drug Therapies  
**Description:** None  
**Rubric:** Management  

**Prescription:**

- Initial prescription by a specialist for orthotics (including orthopedic shoes), custom-made orthotics, prostheses, and electric wheelchairs; renewal by a general practitioner.
- Prior agreement and specific form required for major equipment.
- Reimbursed at 60 to 100% depending on whether or not you have ALD.
- By a physiotherapist, with the possibility of reimbursement: certain aids for preventing bedsores, walking, joint and spinal series orthoses.
- By a nurse, with the possibility of reimbursement: certain aids for pressure sore prevention, healing, and elastic support.

Small and large appliances are included in the LPPR (List of Reimbursable Products and Services).

The financing of a medical device is often linked to the associated procedure. Depending on whether the device is used in the community or in a hospital, two main types of reimbursement are possible:

- In hospitals, the financing of medical devices, whether for individual use or linked to a procedure, is covered by the hospital stay charge (GHS). It is only if the medical device is included on the 'extra' list that its financing will be covered by the LPPR. ""Organisation of discharge from hospital (SDD-355)""
- In towns and cities, DM is financed directly by the procedure or by the LPPR tariff in the case of individual use.",0.8888888888888888,17.937500000000004,False,True,0.777775764465332,0.6057785749435425,b,False,2
