id,rubric,question,option_a,option_b,option_c,option_d,correct_option
OIC-328-06-B,Management of costs,Which of the following is NOT an indication for the use of Immobilisation Orthoses according to the provided educational content?,Trauma to the limbs,Brachial plexus issues,Knee instability,Foot drop,D
OIC-328-12-B,Definition,What is the main indication for spa treatment in France that has been most validated through clinical trials?,Chronic bronchitis,Osteoarthritis,Seasonal allergies,Migraine headaches,B
OIC-328-05-A,Definition,"What are the primary objectives of orthotic treatment, as opposed to post-trauma or surgical orthopedic treatment?",Pain relief and rapid muscle growth,"Downtime, rest, stabilization, correction, and substitution",Increased mobility and high-intensity exercise,Bone realignment and immediate weight bearing,B
OIC-328-08-A,Definition,What are the components of a limb prosthesis as described in the educational content?,"Sleeve, Socket, and End Effector","Sleeve, Socket, Intermediate Effectors (including Articular and Non-articular), and End Effector","Articular Pieces, Aesthetic Trim, and Foot Effector","Socket, Hand Effector, and Connecting Pieces",B
OIC-328-02-A,Definition,"According to the European regulation 2017/745, which of the following best describes a medical device?",Any substance used to treat diseases pharmacologically.,"Any instrument, apparatus, equipment, material, product (excluding products of human origin) used for medical purposes in humans, primarily through pharmacological, immunological, or metabolic action.","Any device, instrument, apparatus, equipment, material, product (excluding products of human origin) used for medical purposes in humans, whose main action is not achieved by pharmacological, immunological, or metabolic means.",A product of human origin used for non-medical purposes.,C
OIC-328-07-B,,"When prescribing orthoses, which of the following factors is NOT typically considered by healthcare professionals?",Patient's level of mobility and activity,The specific anatomical features of the patient's body,The patient's preference for orthotic color and design,The required support and stabilization for the affected body part,C
OIC-328-04-B,Definition,Which of the following statements accurately reflects the classification and specifications of medical devices mentioned in the provided educational content?,"Minor appliances, such as compression stockings, are individually tailored, require a specific prescription form, and are completely reimbursed at 100% on the LPPR.","Major medical devices like myoelectric forearm prosthesis are standard-issue, available through pharmacies, and have partial reimbursement at 60%.","Minor medical devices, such as a lumbar belt, are typically standard and made from low-temperature thermoplastic, available for simple prescription by non-specialists, and reimbursed at 60% on the LPPR.","Major equipment, including custom orthoses, requires a prescription specific to the form, initial prescription by a specialist, and full reimbursement at 100% if ALD on the LPPR.",D
OIC-328-10-B,Definition,Which of the following is not a correct match between a technical aid and its primary objective/indication for use?,"Electric wheelchair - Objective: Getting around, Indication: 4 limb neuropathy","Voice synthesis - Objective: Communicating, Indication: Neurological pathology","Braille - Objective: Seeing, Indication: Blindness","Respirator - Objective: Breathing, Indication: Snoring",D
OIC-328-09-A,Definition,Which of the following statements best describes the primary purpose and characteristics of orthopedic footwear according to the provided educational content?,"Orthopedic footwear is a temporary solution (CHUT) for cosmetic foot enhancements, not covered by insurance.","Orthopedic footwear, including custom-made shoes, is designed for temporary use only (CHUT), and can be prescribed by any doctor without specialist consultation.","Custom-made orthopedic shoes, which are reimbursed between 60 to 100%, are prescribed by a specialist for conditions such as neurological pathology and instability, and are carried out by a chiropodist or ortho-prosthetist.",Foot orthoses are exclusively used for toe protection and are not subject to reimbursement or prescription.,C
OIC-328-03-B,Management,Which of the following statements accurately describes the financing of medical devices in hospitals and towns/cities based on the provided educational content?,"In hospitals, medical devices are financed by the patient's insurance policy, whereas in towns and cities, they are covered by the GHS regardless of the 'extra' list inclusion.","In hospitals, medical devices are covered by the hospital stay charge (GHS) unless they are on the 'extra' list, and in towns and cities, they are financed by the procedure or directly by the LPPR tariff.","In hospitals, all medical devices are included on the 'extra' list and financed by the LPPR, while in towns and cities, they are covered by the GHS.","In towns and cities, medical devices are financed by the hospital stay charge (GHS), whereas in hospitals, they are paid for directly by the medical equipment supplier.",B
OIC-328-01-A,Evaluation,"When evaluating non-drug therapies, what factors are considered essential for the prescription of a defined therapeutic objective?",Patient's favorite color and preferred activities,"Disabilities, activity limitations, participation restrictions, and environmental factors",Only the cost and availability of the therapy,The patient's astrological sign and cultural background,B
OIC-328-11-A,Definition,"According to the prescription rules for wheelchairs, which of the following statements is correct?",An electric wheelchair can be prescribed without a trial by any doctor.,A manual wheelchair may be combined with the prescription of an anti-bedsore cushion.,An electric wheelchair purchase is fully covered by health insurance without prior agreement.,Manual wheelchairs require a trial conducted by a PRM doctor along with a physiotherapist or occupational therapist.,B
OIC-019-05-A,Definition,"Which of the following branches is responsible for managing the social risks of the self-employed in France, including tradespeople, industrialists, shopkeepers, and non-regulated liberal professions?",The Family branch,"The Sickness, Occupational Injuries, and Occupational Risks branch",The Old Age branch,The Self-Employed social risks branch,D
OIC-019-12-A,,"When an insured person is diagnosed with a condition not on the ALD list but requiring prolonged treatment beyond six months, what is the correct course of action regarding co-payment exemptions and care protocols?",The patient must pay the full co-payment as there is no exemption for non-ALD conditions.,The patient is exempt from co-payment for care in accordance with the ALD protocol for off-list illnesses.,The patient may be exempted from co-payment if the condition leads to a disabling pathological condition and requires continuous care for more than six months according to the disabling polypathology protocol (32nd disease).,"The patient must only present their prescription to all professionals they consult, regardless of the condition or treatment duration.",C
OIC-019-08-A,Definition,Which of the following best describes the current state of special social security schemes in France as of 2021?,There has been a significant increase in the number of special schemes due to the expansion of the industrial sectors.,"Special schemes have remained unchanged since their inception in 1945, maintaining a diversity of risk coverage across different sectors.","The number of special schemes has significantly reduced to 27, with many facing sustainability challenges due to a decline in their contributing workforce.","Special schemes have completely converged with the General Scheme, eliminating all differences in benefits and operations.",C
OIC-019-04-B,,Which of the following best describes the trend in the sources of funding for social protection in France since 1990?,"An increase in social security contributions as the primary source, with a decline in fiscal resources.","A steady proportion of social security contributions, with no significant change in other funding sources.","A decline in social security contributions in favor of fiscal resources, such as the CSG and exemptions on employers' contributions.","A shift towards private insurance contributions as the main funding source, reducing reliance on state contributions.",C
OIC-019-10-A,,What are the conditions under which a patient is exempt from the fixed contribution when using healthcare services in France?,Patients under the age of 18 and those using the 'tiers payant' system.,"Beneficiaries of complementary health insurance, the AME, and pregnant women from the sixth month of pregnancy.",Patients who have a 'ticket modérateur' of 30% and those with supplementary health insurance.,Individuals who are not following the coordinated care pathway and those who have had an accident at work.,B
OIC-019-07-B,Definition,What is the primary purpose of the National Health Insurance Expenditure Target (ONDAM) in France?,To set the budget for health insurance premiums for private insurers.,"To establish the annual forecast limit for healthcare expenditure, encompassing outpatient and inpatient care.",To determine the salaries of medical professionals in public and private health establishments.,To allocate funds exclusively for the development of new medical technologies.,B
OIC-019-13-B,Definition,Which of the following best describes the difference between cash benefits and benefits in kind within the context of social and health insurance schemes?,Cash benefits provide financial support while benefits in kind offer services such as hospitalization directly.,"Cash benefits are reimbursements for medical services, while benefits in kind provide a fixed income regardless of healthcare expenses.","Cash benefits include daily allowances during absence from work due to illness, whereas benefits in kind involve reimbursement for healthcare costs incurred.",Cash benefits and benefits in kind both offer full coverage for all health-related expenses with no limitations.,C
OIC-019-03-B,Definition,What was the main factor contributing to the 4.3% increase in health insurance benefits in France in 2020?,A reduction in the number of accidents at work due to increased teleworking,A decrease in GP and specialist consultations due to the Covid-19 epidemic,The so-called 'derogatory' IJs used to compensate those unable to work during initial confinements,The introduction of the national target for health insurance expenditure (Ondam),C
OIC-019-02-A,Definition,Which of the following is NOT one of the six categories of social protection benefits in France?,Educational Risk,Health Risk,Employment Risk,Poverty-Social Exclusion Risk,A
OIC-019-11-A,Definition,"In the coordinated care pathway, who is primarily responsible for providing care, guiding patients through the pathway, managing medical records, and offering personalized prevention services?",The insurance organization,The patient's employer,The attending physician,The specialist doctor directly accessible by the patient,C
OIC-019-06-B,Definition,What is the primary function of the Social Security Financing Act (LFSS) according to the educational content provided?,To directly authorize state revenue collection for social security.,To establish the general conditions for the financial equilibrium of the social security system based on revenue forecasts.,To allow parliament to set social security revenues and impose budgetary spending limits.,To serve as a finance law with broad budgetary control over the state finances.,B
