id,question,option_a,option_b,option_c,option_d,correct_option
OIC-328-06-B,What are the different types of orthoses?,Immobilisation orthoses,Stabilisation orthoses,Posture orthoses,Function orthoses,Orthotic categories
OIC-328-12-B,What is a spa?,A spa is an establishment where people go to relax.,A spa is an establishment where people go for health treatments.,A spa is an establishment where people go for beauty treatments.,A spa is an establishment where people go for a holiday.,a
OIC-328-05-A,Which of the following is NOT a type of orthosis?,A. A brace,B. An ankle-foot orthotic device,C. A cast,D. A splint,E. A brace
OIC-328-08-A,What is a prosthesis?,A device that replaces a missing limb or limb segment.,An artificial replacement of a part of the body,A device used to replace an arm or leg,A device used to replace a hand or foot,option_a
OIC-328-02-A,What is a medical device?,A new European regulation (EU regulation 2017/745) dating from May 2021 aims to standardize the marketing and commissioning of medical devices within the European Union (without regulating prices and reimbursements by social organizations).,"Medical devices are any instrument, apparatus, equipment, material, product (with the exception of products of human origin) including accessories and software, used alone or in combination, for medical purposes in humans, and whose principal intended action is not obtained by pharmacological, immunological, or metabolic means.",A new European regulation (EU regulation 2017/745) dating from May 2021 aims to standardize the marketing and commissioning of medical devices within the European Union (without regulating prices and reimbursements by social organizations).,"Medical devices are any instrument, apparatus, equipment, material, product (with the exception of products of human origin) including accessories and software, used alone or in combination, for medical purposes in humans, and whose principal intended action is not obtained by pharmacological, immunological, or metabolic means.",option_c
OIC-328-07-B,What is the difference between a small and large orthosis?,"A small orthosis is used for short-term use, while a large orthosis is used for long-term use.","A small orthosis is used to correct deformity, while a large orthosis is used to support the body.","A small orthosis is used to treat pain, while a large orthosis is used to prevent injury.","A small orthosis is used for short-term use, and a large orthosis is used for long-term use. A small orthosis is used to correct deformity, while a large orthosis is used to support the body.",a
OIC-328-04-B,Which of these is not an example of a medical device? (1 point),Compression stockings,Therapeutic footwear,Lumbar belt,Myoelectric forearm prosthesis,compression stockings
OIC-328-10-B,Which of the following is not a technical aid?,Canes,Electric wheelchair,Verticalizer,Bath board,Option d
OIC-328-09-A,Which of these types of footwear are not reimbursed by health insurance? ,Custom-made Orthopedic Shoes,Standard Therapeutic Footwear,Foot Orthoses,Orthoplasty,Option d
OIC-328-03-B,"Which of these statements about reimbursement for medical devices are true? Select all that apply. 

1. The financing of a medical device is often linked to the associated procedure.
2. In hospitals, the financing of medical devices, whether for individual use or linked to a procedure, is covered by the hospital stay charge (GHS).
3. In towns and cities, DM is financed directly by the procedure or by the LPPR tariff in the case of individual use.","1. The financing of a medical device is often linked to the associated procedure.
2. In hospitals, the financing of medical devices, whether for individual use or linked to a procedure, is covered by the hospital stay charge (GHS).
3. In towns and cities, DM is financed directly by the procedure or by the LPPR tariff in the case of individual use.","1. The financing of a medical device is often linked to the associated procedure.
2. In hospitals, the financing of medical devices, whether for individual use or linked to a procedure, is covered by the hospital stay charge (GHS).
3. In towns and cities, DM is financed directly by the procedure or by the LPPR tariff in the case of individual use.","1. The financing of a medical device is often linked to the associated procedure.
2. In hospitals, the financing of medical devices, whether for individual use or linked to a procedure, is covered by the hospital stay charge (GHS).
3. In towns and cities, DM is financed directly by the procedure or by the LPPR tariff in the case of individual use.","1. The financing of a medical device is often linked to the associated procedure.
2. In hospitals, the financing of medical devices, whether for individual use or linked to a procedure, is covered by the hospital stay charge (GHS).
3. In towns and cities, DM is financed directly by the procedure or by the LPPR tariff in the case of individual use.",> option_c</option>
OIC-328-01-A,Which of these is not a characteristic of a chronic disease?,The patient has an impairment in their ability to perform activities.,The patient has an activity limitation that prevents them from participating in the environment.,The patient's participation restrictions are due to environmental factors.,The patient is unable to tolerate the device because of complications.,option_a
OIC-328-11-A,Which of these is NOT a common misconception about wheelchair use?,Wheelchairs are not for everyone. They can be used by anyone who has difficulty walking or standing.,"Wheelchairs are only for people with mobility problems, such as stroke, spinal cord injury, or multiple sclerosis.",Wheelchairs are only for people with limited movement in their arms and legs.,Wheelchairs can be used by anyone who has difficulty walking or standing.,option_a
OIC-019-05-A,What is the general scheme?,The General Scheme covers salaried workers in the private sector.,"The General Scheme covers groups such as students, the unemployed, and government contract workers who are not employed in the private sector.","The General Scheme was created to cover salaried workers in the private sector. It has since expanded to include groups such as students, the unemployed, and government contract workers who are not employed in the private sector.","The General Scheme is currently the largest in terms of the number of people covered (nearly 30 million), including those covered for sickness, family, retirement, industrial accidents, and occupational diseases. Since 2018, following the abolition of the Social Scheme for the Self-Employed (RSI), the general scheme has managed the social risks of the self-employed, including tradespeople, industrialists, shopkeepers, and non-regulated liberal professions.",option_c
OIC-019-12-A,"The following educational content is based on the following educational content: Social security, health insurance, supplementary insurance, supplementary health insurance (CSS), medical consumption, social protection, medical consumption, and health economics. Item Parent: Social security, health insurance, supplementary insurance, supplementary health insurance (CSS), medical consumption, social protection, medical consumption, and health economics. Description: Definition of illnesses covered, including listed illness (ALD 30), off-list illness (ALD 31), or several illnesses leading to a disabling pathological condition (ALD 32), how it is set up, and consequences for the patient. The insured person may be exempted from the co-payment for care that complies with the ALD protocol according to the list of 30 long-term conditions defined by the health insurance scheme. Expenses related to care directly linked to the ALD are reimbursed at 100% by the health insurance. In the case of a serious or incapacitating form of a disease not on the list of 30 ALD, involving prolonged treatment of a foreseeable duration of more than six months and a particularly costly therapy (31st disease for care in accordance with the ALD protocol off the list). Finally, in the event of polypathology causing a disabling condition and requiring continuous care for a foreseeable period of more than 6 months, an exemption from co-payment may be granted for care in accordance with the disabling polypathology protocol (32nd disease). To establish an ALD care protocol, the attending physician accompanies the patient's request. In consultation with the specialists involved, the physician draws up the care protocol, which sets out the diagnostic elements, prescribed treatments, specialist consultations, or paraclinical examinations necessary for the patient's care. The care protocol must comply with HAS recommendations and receive the opinion of the health insurance medical officer. A copy of the care protocol is given to the patient, who reads it, signs it, and is free to accept or refuse that the diagnosis of the disease be included. Each doctor who provides care to this patient, whether in a hospital or in a healthcare establishment, is required to write prescriptions on a bizone prescription to distinguish prescriptions relating to the ALD (exemption from co-payment) from those relating to other conditions (application of co-payment). The patient benefits from direct access to the specialists mentioned in the care protocol. In return for the advantage of exemption from co-payment, patients are obliged to present their personal section of the care protocol to all professionals they consult, except in emergencies. They must comply with the treatment plan drawn up by the treating doctor and attend the medical check-ups and visits organized by the health insurance scheme.",The insured person may be exempted from the co-payment for care that complies with the ALD protocol according to the list of 30 long-term conditions defined by the health insurance scheme. Expenses related to care directly linked to the ALD are reimbursed at 100% by the health insurance.,The insured person may be exempted from the co-payment for care that complies with the ALD protocol according to the list of 30 long-term conditions defined by the health insurance scheme. Expenses related to care directly linked to the ALD are reimbursed at 100% by the health insurance.,The insured person may be exempted from the co-payment for care that complies with the ALD protocol according to the list of 30 long-term conditions defined by the health insurance scheme. Expenses related to care directly linked to the ALD are reimbursed at 100% by the health insurance.,The insured person may be exempted from the co-payment for care that complies with the ALD protocol according to the list of 30 long-term conditions defined by the health insurance scheme. Expenses related to care directly linked to the ALD are reimbursed at 100% by the health insurance.,option_a
OIC-019-08-A,Which social security scheme is not part of the general Social Security system?,The civil service scheme,The agricultural scheme,The special schemes predate the general scheme and opted not to join it in 1945.,The social security for public companies and establishments.,The civil service scheme
