id,mcq_json,rubric,question,option_a,option_b,option_c,option_d,correct_option
OIC-360-01-A,"{'question': 'What is a pneumothorax?', 'option_a': 'Fluid accumulation in the lungs', 'option_b': 'Gas effusion in the pleural cavity', 'option_c': 'Infection of the pleural lining', 'option_d': 'Inflammation of the lung tissue', 'correct_option': 'B'}",Definition,What is a pneumothorax?,Fluid accumulation in the lungs,Gas effusion in the pleural cavity,Infection of the pleural lining,Inflammation of the lung tissue,b
OIC-360-08-A,"{'question': 'Which of the following is a key element in diagnosing the severity of a pneumothorax?', 'option_a': 'The size of the pneumothorax', 'option_b': 'Presence of respiratory distress', 'option_c': ""Patient's age"", 'option_d': 'Location of the pneumothorax', 'correct_option': 'B'}",,Which of the following is a key element in diagnosing the severity of a pneumothorax?,The size of the pneumothorax,Presence of respiratory distress,Patient's age,Location of the pneumothorax,b
OIC-360-03-A,"{'question': 'Which of the following is a clinical element used to diagnose pneumothorax?', 'option_a': ""Sudden 'stabbing' chest pain"", 'option_b': 'Increased vesicular murmur', 'option_c': 'Moist cough', 'option_d': 'Decreased tympany on percussion', 'correct_option': 'A'}",Positive diagnosis,Which of the following is a clinical element used to diagnose pneumothorax?,Sudden 'stabbing' chest pain,Increased vesicular murmur,Moist cough,Decreased tympany on percussion,a
OIC-360-11-B,"{'question': 'What is a recommended measure to prevent the recurrence of pneumothorax?', 'option_a': 'Increasing physical activity', 'option_b': 'Smoking cessation', 'option_c': 'Reducing water intake', 'option_d': 'Avoiding dairy products', 'correct_option': 'B'}",,What is a recommended measure to prevent the recurrence of pneumothorax?,Increasing physical activity,Smoking cessation,Reducing water intake,Avoiding dairy products,b
OIC-360-10-B,"{'question': 'What is a primary indication for performing pleural drainage in the management of pneumothorax?', 'option_a': 'When the pneumothorax is primary and exsufflation has failed.', 'option_b': 'When the pneumothorax is primary and there is no expected delay in pleural closure.', 'option_c': 'When the pneumothorax is secondary and exsufflation is successful.', 'option_d': 'When the pneumothorax is primary and there is no fluid effusion.', 'correct_option': 'A'}",Management,What is a primary indication for performing pleural drainage in the management of pneumothorax?,When the pneumothorax is primary and exsufflation has failed.,When the pneumothorax is primary and there is no expected delay in pleural closure.,When the pneumothorax is secondary and exsufflation is successful.,When the pneumothorax is primary and there is no fluid effusion.,a
OIC-360-04-A,"{'question': 'What is a key radiological sign of a tension pneumothorax on a standard chest X-ray?', 'option_a': 'Clear peripheral crescent at the apex', 'option_b': 'Retraction of the lung parenchyma onto its hilum', 'option_c': 'Subcutaneous emphysema', 'option_d': 'Horizontal hydroaerobic level', 'correct_option': 'B'}",Positive diagnosis,What is a key radiological sign of a tension pneumothorax on a standard chest X-ray?,Clear peripheral crescent at the apex,Retraction of the lung parenchyma onto its hilum,Subcutaneous emphysema,Horizontal hydroaerobic level,b
OIC-360-02-B,"{'question': 'What distinguishes primary pneumothorax from secondary pneumothorax?', 'option_a': 'Primary pneumothorax is caused by underlying lung diseases.', 'option_b': 'Secondary pneumothorax occurs without an apparent cause.', 'option_c': 'Primary pneumothorax occurs without an apparent cause.', 'option_d': 'Secondary pneumothorax is unrelated to lung diseases.', 'correct_option': 'C'}",,What distinguishes primary pneumothorax from secondary pneumothorax?,Primary pneumothorax is caused by underlying lung diseases.,Secondary pneumothorax occurs without an apparent cause.,Primary pneumothorax occurs without an apparent cause.,Secondary pneumothorax is unrelated to lung diseases.,c
OIC-360-07-A,"{'question': 'What is a primary indicator of a primary spontaneous pneumothorax?', 'option_a': 'History of trauma', 'option_b': 'Long-limbed young man', 'option_c': 'Presence of pulmonary pathology', 'option_d': 'Tobacco use', 'correct_option': 'B'}",Etiologies,What is a primary indicator of a primary spontaneous pneumothorax?,History of trauma,Long-limbed young man,Presence of pulmonary pathology,Tobacco use,b
OIC-360-09-A,"{'question': 'When is pleural exsufflation indicated according to the main principles?', 'option_a': 'For any size of pneumothorax with respiratory distress.', 'option_b': 'Only for pressure pneumothorax with signs of severity.', 'option_c': 'For complete pneumothorax with a detachment of more than 2 cm.', 'option_d': 'For any pneumothorax without symptoms.', 'correct_option': 'b'}",Management,When is pleural exsufflation indicated according to the main principles?,For any size of pneumothorax with respiratory distress.,Only for pressure pneumothorax with signs of severity.,For complete pneumothorax with a detachment of more than 2 cm.,For any pneumothorax without symptoms.,b
OIC-258-09-A,"{'question': 'Which clinical condition is indicative of functional renal failure due to effective hypovolemia?', 'option_a': 'Extracellular dehydration', 'option_b': 'Nephrotic syndrome', 'option_c': 'Hemorrhage', 'option_d': 'Orthostatic hypotension', 'correct_option': 'B'}",Etiologies,Which clinical condition is indicative of functional renal failure due to effective hypovolemia?,Extracellular dehydration,Nephrotic syndrome,Hemorrhage,Orthostatic hypotension,b
OIC-258-07-A,"{'question': 'What clinical evidence supports the obstructive nature of an increase in creatininemia?', 'option_a': 'Significant dysuria or micturition by overflow.', 'option_b': 'Presence of a small kidney on palpation.', 'option_c': 'Absence of tenderness in the lumbar fossa.', 'option_d': 'Normal pelvic examination results.', 'correct_option': 'A'}",Etiologies,What clinical evidence supports the obstructive nature of an increase in creatininemia?,Significant dysuria or micturition by overflow.,Presence of a small kidney on palpation.,Absence of tenderness in the lumbar fossa.,Normal pelvic examination results.,a
OIC-258-08-B,"{'question': 'Which test is standard for assessing the obstructive nature of increased creatininemia?', 'option_a': 'Renal ultrasound', 'option_b': 'Blood glucose test', 'option_c': 'Liver function test', 'option_d': 'Electrocardiogram', 'correct_option': 'A'}",Additional tests,Which test is standard for assessing the obstructive nature of increased creatininemia?,Renal ultrasound,Blood glucose test,Liver function test,Electrocardiogram,a
